IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
44.243.143.227,443,443,true,SEA,North America,Seattle,194,8.40
34.221.104.83,443,443,true,SEA,North America,Seattle,197,8.40
3.19.53.84,443,443,true,ORD,North America,Chicago,215,8.40
34.216.99.241,443,443,true,SEA,North America,Seattle,199,8.39
18.189.192.203,443,443,true,ORD,North America,Chicago,215,8.38
204.110.220.244,80,443,true,SEA,North America,Seattle,195,8.38
3.133.155.246,443,443,true,ORD,North America,Chicago,219,8.37
54.203.85.46,443,443,true,SEA,North America,Seattle,192,8.37
3.18.225.231,443,443,true,CMH,North America,Columbus,215,8.37
204.110.221.115,80,443,true,SEA,North America,Seattle,195,8.36
3.15.187.32,443,443,true,ORD,North America,Chicago,228,8.35
18.219.74.230,2053,443,true,CMH,North America,Columbus,219,8.35
52.15.102.110,443,443,true,ORD,North America,Chicago,219,8.35
34.213.125.194,2053,443,true,SEA,North America,Seattle,195,8.35
18.188.250.206,443,443,true,ORD,North America,Chicago,215,8.34
3.142.199.178,443,443,true,ORD,North America,Chicago,217,8.34
44.234.153.177,443,443,true,SEA,North America,Seattle,192,8.33
18.222.45.70,443,443,true,ORD,North America,Chicago,215,8.33
3.128.171.0,443,443,true,ORD,North America,Chicago,219,8.33
3.141.39.51,443,443,true,ORD,North America,Chicago,215,8.33
18.217.215.69,443,443,true,ORD,North America,Chicago,215,8.33
3.137.150.239,443,443,true,ORD,North America,Chicago,215,8.32
18.219.70.41,443,443,true,ORD,North America,Chicago,214,8.32
3.17.59.81,443,443,true,CMH,North America,Columbus,228,8.31
18.188.69.92,443,443,true,ORD,North America,Chicago,219,8.31
34.208.82.7,443,443,true,SEA,North America,Seattle,192,8.31
18.226.251.47,443,443,true,ORD,North America,Chicago,215,8.30
3.149.25.100,443,443,true,ORD,North America,Chicago,231,8.30
18.246.232.197,443,443,true,SEA,North America,Seattle,197,8.29
3.143.143.9,443,443,true,ORD,North America,Chicago,215,8.29
18.191.22.170,443,443,true,ORD,North America,Chicago,219,8.29
54.201.221.47,80,443,true,PDX,North America,Portland,197,8.29
13.59.202.193,443,443,true,ORD,North America,Chicago,215,8.29
3.141.170.131,443,443,true,ORD,North America,Chicago,219,8.29
18.189.188.214,443,443,true,ORD,North America,Chicago,216,8.29
3.138.124.147,443,443,true,ORD,North America,Chicago,219,8.28
34.214.21.30,443,443,true,SEA,North America,Seattle,195,8.28
3.133.81.3,443,443,true,ORD,North America,Chicago,214,8.28
34.216.197.1,443,443,true,SEA,North America,Seattle,192,8.28
204.110.221.98,80,443,true,PDX,North America,Portland,199,8.28
52.14.249.234,2053,443,true,CMH,North America,Columbus,215,8.27
3.15.157.174,443,443,true,ORD,North America,Chicago,218,8.27
34.223.110.206,443,443,true,SEA,North America,Seattle,191,8.27
204.110.221.18,80,443,true,PDX,North America,Portland,194,8.27
3.17.176.49,443,443,true,ORD,North America,Chicago,233,8.27
204.110.220.206,80,443,true,PDX,North America,Portland,197,8.25
3.135.189.30,443,443,true,ORD,North America,Chicago,228,8.25
3.139.92.86,443,443,true,ORD,North America,Chicago,222,8.25
51.20.197.83,443,443,true,ARN,Europe,Stockholm,201,8.25
18.218.151.186,443,443,true,ORD,North America,Chicago,219,8.25
18.222.136.209,443,443,true,ORD,North America,Chicago,218,8.25
35.91.88.232,443,443,true,SEA,North America,Seattle,197,8.25
3.15.11.175,443,443,true,ORD,North America,Chicago,217,8.25
35.88.51.38,443,443,true,SEA,North America,Seattle,195,8.24
35.92.236.71,443,443,true,SEA,North America,Seattle,198,8.24
3.12.41.147,443,443,true,ORD,North America,Chicago,219,8.23
3.133.125.28,443,443,true,ORD,North America,Chicago,229,8.23
204.110.221.247,80,443,true,SEA,North America,Seattle,197,8.23
18.189.139.61,443,443,true,ORD,North America,Chicago,214,8.23
52.15.197.57,443,443,true,ORD,North America,Chicago,215,8.22
35.90.104.121,443,443,true,SEA,North America,Seattle,200,8.22
18.226.94.97,443,443,true,ORD,North America,Chicago,220,8.22
204.110.221.52,80,443,true,SEA,North America,Seattle,191,8.22
3.132.213.60,443,443,true,ORD,North America,Chicago,218,8.21
18.189.182.225,443,443,true,ORD,North America,Chicago,215,8.21
3.134.94.45,443,443,true,ORD,North America,Chicago,218,8.21
18.184.170.148,443,443,true,FRA,Europe,Frankfurt,172,8.21
52.14.134.130,443,443,true,ORD,North America,Chicago,216,8.21
54.184.189.29,443,443,true,SEA,North America,Seattle,194,8.21
52.14.147.248,443,443,true,ORD,North America,Chicago,217,8.21
54.191.209.116,443,443,true,SEA,North America,Seattle,195,8.20
18.227.81.120,443,443,true,ORD,North America,Chicago,215,8.20
3.147.69.220,443,443,true,ORD,North America,Chicago,239,8.20
52.12.21.223,443,443,true,SEA,North America,Seattle,198,8.20
54.202.103.220,443,443,true,SEA,North America,Seattle,197,8.19
3.135.190.74,443,443,true,ORD,North America,Chicago,215,8.19
3.16.48.45,443,443,true,ORD,North America,Chicago,219,8.19
52.14.38.58,443,443,true,ORD,North America,Chicago,220,8.19
18.116.66.242,443,443,true,ORD,North America,Chicago,219,8.18
3.135.227.52,443,443,true,ORD,North America,Chicago,219,8.18
3.138.175.11,443,443,true,ORD,North America,Chicago,219,8.18
52.15.234.196,443,443,true,ORD,North America,Chicago,220,8.18
18.191.65.24,443,443,true,ORD,North America,Chicago,220,8.18
18.191.144.241,443,443,true,ORD,North America,Chicago,220,8.17
18.222.113.169,443,443,true,ORD,North America,Chicago,219,8.17
35.87.44.112,443,443,true,SEA,North America,Seattle,193,8.16
3.15.150.231,443,443,true,ORD,North America,Chicago,216,8.16
34.219.21.174,443,443,true,SEA,North America,Seattle,199,8.16
13.49.224.45,8443,443,true,AMS,Europe,Amsterdam,185,8.15
54.201.103.191,443,443,true,SEA,North America,Seattle,194,8.15
18.218.160.74,443,443,true,ORD,North America,Chicago,215,8.15
3.138.116.194,443,443,true,ORD,North America,Chicago,215,8.15
34.213.209.0,443,443,true,SEA,North America,Seattle,194,8.15
3.138.122.48,443,443,true,ORD,North America,Chicago,219,8.14
18.236.13.188,443,443,true,SEA,North America,Seattle,199,8.14
35.91.154.184,443,443,true,SEA,North America,Seattle,197,8.14
52.40.183.52,443,443,true,SEA,North America,Seattle,195,8.14
34.217.119.17,443,443,true,SEA,North America,Seattle,199,8.13
3.135.189.207,443,443,true,ORD,North America,Chicago,219,8.13
18.191.222.130,443,443,true,ORD,North America,Chicago,219,8.13
3.23.129.162,443,443,true,ORD,North America,Chicago,219,8.12
52.14.132.81,443,443,true,CMH,North America,Columbus,219,8.12
3.138.190.4,443,443,true,ORD,North America,Chicago,247,8.12
18.227.228.0,443,443,true,ORD,North America,Chicago,215,8.12
204.110.221.145,80,443,true,PDX,North America,Portland,197,8.12
3.128.78.93,443,443,true,ORD,North America,Chicago,220,8.11
18.219.239.111,443,443,true,ORD,North America,Chicago,216,8.11
35.87.238.222,443,443,true,SEA,North America,Seattle,196,8.10
3.15.149.43,443,443,true,ORD,North America,Chicago,220,8.10
18.237.100.55,443,443,true,SEA,North America,Seattle,196,8.10
18.226.248.170,443,443,true,ORD,North America,Chicago,220,8.09
3.134.99.209,443,443,true,ORD,North America,Chicago,219,8.09
3.149.214.34,443,443,true,ORD,North America,Chicago,215,8.08
3.140.142.249,2053,443,true,CMH,North America,Columbus,216,8.08
35.94.4.124,443,443,true,SEA,North America,Seattle,196,8.07
18.217.62.106,443,443,true,ORD,North America,Chicago,219,8.07
3.129.73.135,443,443,true,ORD,North America,Chicago,215,8.07
3.140.1.125,443,443,true,ORD,North America,Chicago,227,8.07
35.88.56.33,443,443,true,SEA,North America,Seattle,192,8.07
204.110.220.165,80,443,true,SEA,North America,Seattle,195,8.06
18.116.29.66,443,443,true,ORD,North America,Chicago,219,8.06
18.218.10.17,443,443,true,ORD,North America,Chicago,216,8.05
34.220.0.36,443,443,true,SEA,North America,Seattle,197,8.03
204.110.221.3,80,443,true,SEA,North America,Seattle,196,8.03
204.110.221.51,80,443,true,SEA,North America,Seattle,198,8.03
3.140.142.249,8443,443,true,CMH,North America,Columbus,219,8.03
204.110.221.219,80,443,true,PDX,North America,Portland,198,8.02
35.88.204.248,443,443,true,SEA,North America,Seattle,195,8.02
3.146.107.135,443,443,true,ORD,North America,Chicago,225,8.01
18.191.157.144,443,443,true,ORD,North America,Chicago,219,8.01
3.137.165.228,443,443,true,ORD,North America,Chicago,219,8.01
54.202.248.131,443,443,true,SEA,North America,Seattle,195,8.00
3.135.200.93,443,443,true,ORD,North America,Chicago,223,8.00
204.110.221.117,80,443,true,SEA,North America,Seattle,197,8.00
13.58.82.214,443,443,true,ORD,North America,Chicago,224,8.00
18.191.236.159,443,443,true,ORD,North America,Chicago,220,7.99
18.216.118.100,443,443,true,ORD,North America,Chicago,216,7.99
3.23.126.204,443,443,true,ORD,North America,Chicago,220,7.99
204.110.220.176,80,443,true,PDX,North America,Portland,196,7.99
3.68.216.137,2053,443,true,FRA,Europe,Frankfurt,192,7.98
204.110.220.5,80,443,true,PDX,North America,Portland,195,7.98
204.110.221.187,80,443,true,PDX,North America,Portland,198,7.98
204.110.221.133,80,443,true,SEA,North America,Seattle,197,7.98
35.87.37.61,443,443,true,SEA,North America,Seattle,195,7.97
3.137.219.35,443,443,true,ORD,North America,Chicago,219,7.96
3.13.196.41,443,443,true,ORD,North America,Chicago,219,7.96
3.17.189.131,443,443,true,ORD,North America,Chicago,219,7.94
35.93.45.194,443,443,true,SEA,North America,Seattle,194,7.94
35.93.145.134,443,443,true,SEA,North America,Seattle,194,7.93
54.70.83.211,443,443,true,SEA,North America,Seattle,197,7.92
35.92.216.11,443,443,true,SEA,North America,Seattle,197,7.92
3.133.116.40,443,443,true,ORD,North America,Chicago,234,7.92
18.216.222.32,443,443,true,ORD,North America,Chicago,216,7.92
34.214.113.200,443,443,true,PDX,North America,Portland,200,7.92
35.87.97.67,443,443,true,SEA,North America,Seattle,197,7.91
54.186.61.65,443,443,true,SEA,North America,Seattle,200,7.90
204.110.221.138,80,443,true,SEA,North America,Seattle,198,7.90
3.129.209.204,443,443,true,ORD,North America,Chicago,215,7.90
18.220.99.189,443,443,true,ORD,North America,Chicago,219,7.89
35.94.101.52,443,443,true,SEA,North America,Seattle,199,7.89
18.216.216.45,443,443,true,ORD,North America,Chicago,218,7.88
52.15.41.168,443,443,true,ORD,North America,Chicago,215,7.88
18.116.34.206,443,443,true,ORD,North America,Chicago,218,7.88
35.95.178.68,443,443,true,SEA,North America,Seattle,198,7.88
18.225.36.57,443,443,true,ORD,North America,Chicago,215,7.87
3.139.85.235,443,443,true,ORD,North America,Chicago,228,7.87
18.224.69.155,443,443,true,ORD,North America,Chicago,219,7.87
13.58.208.0,443,443,true,ORD,North America,Chicago,223,7.87
34.220.115.240,443,443,true,SEA,North America,Seattle,197,7.86
18.220.28.205,443,443,true,ORD,North America,Chicago,214,7.86
3.139.97.123,443,443,true,ORD,North America,Chicago,220,7.85
204.110.220.47,80,443,true,PDX,North America,Portland,192,7.85
18.246.214.237,443,443,true,PDX,North America,Portland,200,7.85
35.83.249.189,443,443,true,SEA,North America,Seattle,193,7.85
18.191.224.177,443,443,true,ORD,North America,Chicago,219,7.85
54.215.69.69,443,443,true,SJC,North America,San Jose,177,7.84
204.110.220.109,80,443,true,PDX,North America,Portland,194,7.84
3.138.187.253,443,443,true,ORD,North America,Chicago,232,7.84
35.91.196.13,443,443,true,SEA,North America,Seattle,197,7.84
3.17.155.106,443,443,true,ORD,North America,Chicago,216,7.84
18.221.172.138,443,443,true,ORD,North America,Chicago,215,7.84
18.220.192.232,443,443,true,ORD,North America,Chicago,215,7.84
3.133.7.218,443,443,true,ORD,North America,Chicago,219,7.84
13.59.196.193,443,443,true,ORD,North America,Chicago,216,7.84
35.92.139.252,443,443,true,SEA,North America,Seattle,198,7.83
3.141.45.220,443,443,true,ORD,North America,Chicago,215,7.83
204.110.221.252,80,443,true,PDX,North America,Portland,210,7.83
