IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.47.122.130,33923,443,true,HKG,Asia Pacific,Hong Kong,61,7.58
154.9.245.11,43330,443,true,HKG,Asia Pacific,Hong Kong,161,5.43
38.207.132.218,52354,443,true,HKG,Asia Pacific,Hong Kong,159,5.33
43.240.12.98,29062,0,true,HKG,Asia Pacific,Hong Kong,159,5.30
154.9.246.174,23989,0,true,HKG,Asia Pacific,Hong Kong,42,5.18
154.9.245.11,21723,443,true,HKG,Asia Pacific,Hong Kong,46,5.18
38.47.100.76,44953,443,true,HKG,Asia Pacific,Hong Kong,50,4.84
154.9.246.169,59485,443,true,HKG,Asia Pacific,Hong Kong,46,4.28
154.9.245.111,35187,0,true,HKG,Asia Pacific,Hong Kong,54,3.83
154.9.245.29,42684,0,true,HKG,Asia Pacific,Hong Kong,41,3.49
154.9.245.138,23615,0,true,HKG,Asia Pacific,Hong Kong,162,3.45
103.145.61.192,23802,0,true,HKG,Asia Pacific,Hong Kong,149,3.23
206.237.31.98,58367,0,true,HKG,Asia Pacific,Hong Kong,51,3.15
154.9.245.138,30487,443,true,HKG,Asia Pacific,Hong Kong,49,3.13
206.237.26.103,443,443,true,HKG,Asia Pacific,Hong Kong,47,3.11
154.9.245.138,40517,0,true,HKG,Asia Pacific,Hong Kong,51,2.97
154.9.245.29,31114,443,true,HKG,Asia Pacific,Hong Kong,159,2.87
154.9.245.150,44112,443,true,HKG,Asia Pacific,Hong Kong,159,2.77
154.9.247.80,33665,443,true,HKG,Asia Pacific,Hong Kong,50,2.74
154.9.245.138,17677,0,true,HKG,Asia Pacific,Hong Kong,46,2.66
157.254.32.14,30809,80,false,HKG,Asia Pacific,Hong Kong,35,2.64
156.251.183.241,30809,80,false,HKG,Asia Pacific,Hong Kong,46,2.61
16.163.147.103,8443,0,true,HKG,Asia Pacific,Hong Kong,159,2.60
45.87.103.35,10002,443,true,HKG,Asia Pacific,Hong Kong,40,2.57
154.9.245.150,58152,0,true,HKG,Asia Pacific,Hong Kong,151,2.42
154.201.93.212,19443,443,true,HKG,Asia Pacific,Hong Kong,307,2.28
206.237.21.220,24554,0,true,HKG,Asia Pacific,Hong Kong,156,2.25
206.237.29.109,443,443,true,HKG,Asia Pacific,Hong Kong,53,2.24
157.254.53.50,80,80,false,HKG,Asia Pacific,Hong Kong,159,2.23
154.9.246.89,27061,443,true,HKG,Asia Pacific,Hong Kong,162,2.21
45.87.103.35,51402,0,true,HKG,Asia Pacific,Hong Kong,159,2.19
154.9.245.150,12365,443,true,HKG,Asia Pacific,Hong Kong,41,2.15
154.9.246.169,37587,0,true,HKG,Asia Pacific,Hong Kong,43,2.13
156.251.176.217,36699,443,true,HKG,Asia Pacific,Hong Kong,159,2.12
154.9.246.169,17266,0,true,HKG,Asia Pacific,Hong Kong,157,1.96
43.240.12.103,19034,443,true,HKG,Asia Pacific,Hong Kong,54,1.91
43.240.12.103,55404,443,true,HKG,Asia Pacific,Hong Kong,61,1.87
154.9.245.138,53448,443,true,HKG,Asia Pacific,Hong Kong,44,1.83
45.64.75.26,34239,0,true,HKG,Asia Pacific,Hong Kong,102,1.81
45.87.103.162,51402,0,true,HKG,Asia Pacific,Hong Kong,35,1.64
38.207.132.218,27709,0,true,HKG,Asia Pacific,Hong Kong,50,1.61
206.237.29.46,47305,443,true,HKG,Asia Pacific,Hong Kong,158,1.60
206.237.31.94,3443,0,true,HKG,Asia Pacific,Hong Kong,157,1.48
154.9.246.174,35795,0,true,HKG,Asia Pacific,Hong Kong,42,1.43
154.9.246.174,22516,443,true,HKG,Asia Pacific,Hong Kong,162,1.41
154.9.245.29,43678,0,true,HKG,Asia Pacific,Hong Kong,154,1.29
156.251.180.181,21698,443,true,HKG,Asia Pacific,Hong Kong,42,1.19
154.9.246.174,28263,0,true,HKG,Asia Pacific,Hong Kong,157,1.19
154.9.245.150,14648,0,true,HKG,Asia Pacific,Hong Kong,49,1.18
154.9.246.169,47851,0,true,HKG,Asia Pacific,Hong Kong,54,1.18
203.9.150.104,443,0,true,HKG,Asia Pacific,Hong Kong,127,1.17
154.9.245.138,22761,0,true,HKG,Asia Pacific,Hong Kong,50,1.14
154.9.245.138,34590,0,true,HKG,Asia Pacific,Hong Kong,51,1.14
154.12.60.51,443,0,true,HKG,Asia Pacific,Hong Kong,62,1.01
154.9.246.174,59473,0,true,HKG,Asia Pacific,Hong Kong,51,0.98
43.240.12.103,58034,443,true,HKG,Asia Pacific,Hong Kong,158,0.94
38.207.132.122,25620,443,true,HKG,Asia Pacific,Hong Kong,46,0.92
38.47.108.117,37734,443,true,HKG,Asia Pacific,Hong Kong,158,0.92
206.237.18.140,36485,443,true,HKG,Asia Pacific,Hong Kong,158,0.89
154.9.245.29,33463,0,true,HKG,Asia Pacific,Hong Kong,49,0.81
206.237.29.46,21020,443,true,HKG,Asia Pacific,Hong Kong,44,0.80
154.9.245.138,58456,0,true,HKG,Asia Pacific,Hong Kong,48,0.77
154.9.245.138,58446,0,true,HKG,Asia Pacific,Hong Kong,160,0.76
154.9.246.2,28301,0,true,HKG,Asia Pacific,Hong Kong,52,0.76
154.9.245.29,30216,0,true,HKG,Asia Pacific,Hong Kong,52,0.75
38.207.132.218,44946,0,true,HKG,Asia Pacific,Hong Kong,162,0.72
206.237.29.46,34869,0,true,HKG,Asia Pacific,Hong Kong,54,0.68
154.9.245.150,48548,0,true,HKG,Asia Pacific,Hong Kong,41,0.59
16.163.147.103,2053,443,true,HKG,Asia Pacific,Hong Kong,99,0.56
154.9.245.138,33246,0,true,HKG,Asia Pacific,Hong Kong,160,0.56
154.9.245.150,51846,443,true,HKG,Asia Pacific,Hong Kong,47,0.56
154.9.245.11,29149,443,true,HKG,Asia Pacific,Hong Kong,52,0.49
206.237.22.91,54119,0,true,HKG,Asia Pacific,Hong Kong,54,0.47
154.9.245.11,16998,0,true,HKG,Asia Pacific,Hong Kong,158,0.43
45.152.64.147,36031,443,true,HKG,Asia Pacific,Hong Kong,98,0.42
154.9.245.29,27483,0,true,HKG,Asia Pacific,Hong Kong,51,0.42
154.9.246.36,53117,0,true,HKG,Asia Pacific,Hong Kong,54,0.41
43.240.12.103,55909,0,true,HKG,Asia Pacific,Hong Kong,47,0.38
185.239.85.166,8866,0,false,HKG,Asia Pacific,Hong Kong,149,0.35
43.247.134.147,17043,443,true,HKG,Asia Pacific,Hong Kong,178,0.34
154.9.245.138,43412,0,true,HKG,Asia Pacific,Hong Kong,41,0.31
154.9.245.29,41220,443,true,HKG,Asia Pacific,Hong Kong,152,0.29
38.207.132.218,26887,0,true,HKG,Asia Pacific,Hong Kong,44,0.28
194.104.146.124,30809,0,false,HKG,Asia Pacific,Hong Kong,91,0.27
206.237.27.79,50833,0,true,HKG,Asia Pacific,Hong Kong,46,0.19
43.154.96.33,443,0,true,HKG,Asia Pacific,Hong Kong,113,0.18
45.149.186.112,8080,0,true,HKG,Asia Pacific,Hong Kong,172,0.17
154.9.245.138,35502,443,true,HKG,Asia Pacific,Hong Kong,50,0.17
43.154.230.30,443,0,true,HKG,Asia Pacific,Hong Kong,126,0.16
43.207.213.195,2086,443,true,HKG,Asia Pacific,Hong Kong,80,0.14
154.9.245.29,13178,0,true,HKG,Asia Pacific,Hong Kong,156,0.12
129.226.12.38,443,443,true,HKG,Asia Pacific,Hong Kong,135,0.12
45.8.186.160,8443,0,true,HKG,Asia Pacific,Hong Kong,176,0.11
165.154.43.92,35181,0,true,HKG,Asia Pacific,Hong Kong,37,0.10
38.6.195.82,20002,0,true,HKG,Asia Pacific,Hong Kong,177,0.08
103.148.72.147,1443,0,true,HKG,Asia Pacific,Hong Kong,93,0.07
118.193.33.119,27942,0,true,HKG,Asia Pacific,Hong Kong,34,0.07
206.237.6.234,11451,443,true,HKG,Asia Pacific,Hong Kong,176,0.04
91.229.132.209,59430,443,true,HKG,Asia Pacific,Hong Kong,174,0.03
47.57.13.107,80,0,false,HKG,Asia Pacific,Hong Kong,158,0.03
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,151,0.02
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,177,0.01
34.96.172.212,443,443,true,HKG,Asia Pacific,Hong Kong,203,0.01
157.254.32.25,21640,443,true,HKG,Asia Pacific,Hong Kong,335,0.01
157.254.32.25,56787,443,true,HKG,Asia Pacific,Hong Kong,151,0.00
8.210.92.27,443,0,true,HKG,Asia Pacific,Hong Kong,158,0.00
178.173.238.162,20005,443,true,HKG,Asia Pacific,Hong Kong,76,0.00
154.9.246.36,40353,0,true,HKG,Asia Pacific,Hong Kong,152,0.00
103.20.223.16,50048,443,true,HKG,Asia Pacific,Hong Kong,158,0.00
154.9.246.36,18992,0,true,HKG,Asia Pacific,Hong Kong,151,0.00
154.9.246.36,28141,0,true,HKG,Asia Pacific,Hong Kong,149,0.00
154.9.245.11,58150,0,true,HKG,Asia Pacific,Hong Kong,152,0.00
38.181.35.164,36350,0,true,HKG,Asia Pacific,Hong Kong,149,0.00
154.9.245.11,12493,0,true,HKG,Asia Pacific,Hong Kong,161,0.00
154.9.246.174,58319,443,true,HKG,Asia Pacific,Hong Kong,43,0.00
154.9.246.36,31089,0,true,HKG,Asia Pacific,Hong Kong,52,0.00
