IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
146.56.133.140,2096,80,FALSE,ICN,Asia Pacific,Seoul,76,4.38
193.123.233.143,2083,80,FALSE,ICN,Asia Pacific,Seoul,83,2.32
131.186.22.123,443,443,TRUE,ICN,Asia Pacific,Seoul,85,2.3
193.123.233.143,2096,0,FALSE,ICN,Asia Pacific,Seoul,87,2.19
43.201.69.223,8443,443,TRUE,ICN,Asia Pacific,Seoul,108,2.09
144.24.76.213,2052,2052,FALSE,ICN,Asia Pacific,Seoul,98,1.89
45.94.68.215,59340,443,TRUE,ICN,Asia Pacific,Seoul,83,1.81
59.3.3.161,443,0,TRUE,ICN,Asia Pacific,Seoul,148,1.79
210.87.195.139,26439,443,TRUE,ICN,Asia Pacific,Seoul,57,1.56
59.187.242.236,34933,443,TRUE,ICN,Asia Pacific,Seoul,90,1.3
49.128.218.194,35204,443,TRUE,ICN,Asia Pacific,Seoul,82,1.24
45.87.103.162,10001,443,TRUE,ICN,Asia Pacific,Seoul,40,1.16
146.56.45.187,443,0,TRUE,ICN,Asia Pacific,Seoul,74,1.07
4.230.8.95,443,0,TRUE,ICN,Asia Pacific,Seoul,135,1.04
