IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.199.224.90,80,0,false,NRT,Asia Pacific,Tokyo,81,2.94
176.119.149.243,3000,0,true,NRT,Asia Pacific,Tokyo,100,2.69
140.238.19.2,443,0,false,NRT,Asia Pacific,Tokyo,84,2.31
103.150.8.172,4433,443,true,NRT,Asia Pacific,Tokyo,174,2.02
54.249.135.43,443,443,true,NRT,Asia Pacific,Tokyo,52,2.02
54.238.167.118,443,0,true,NRT,Asia Pacific,Tokyo,50,1.73
45.142.166.55,22388,443,true,NRT,Asia Pacific,Tokyo,166,1.04
45.66.129.253,37047,443,true,NRT,Asia Pacific,Tokyo,78,0.98
140.238.29.117,443,0,false,NRT,Asia Pacific,Tokyo,72,0.98
60.205.0.210,80,0,false,NRT,Asia Pacific,Tokyo,37,0.88
185.184.223.19,59775,0,true,NRT,Asia Pacific,Tokyo,175,0.87
109.107.137.56,19358,443,true,NRT,Asia Pacific,Tokyo,188,0.73
176.119.149.242,3000,2053,true,NRT,Asia Pacific,Tokyo,79,0.70
103.20.199.101,33003,443,true,NRT,Asia Pacific,Tokyo,54,0.67
129.154.207.203,443,0,true,NRT,Asia Pacific,Tokyo,198,0.59
123.108.70.109,32813,443,true,NRT,Asia Pacific,Tokyo,173,0.57
206.237.127.54,47584,0,true,NRT,Asia Pacific,Tokyo,173,0.53
52.68.248.185,443,0,true,NRT,Asia Pacific,Tokyo,58,0.51
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,84,0.49
13.230.34.30,80,0,false,NRT,Asia Pacific,Tokyo,58,0.41
43.153.175.137,443,443,true,HKG,Asia Pacific,Hong Kong,81,0.40
193.111.31.133,50896,443,true,NRT,Asia Pacific,Tokyo,170,0.33
45.60.186.91,2082,2082,false,SEA,North America,Seattle,180,0.29
116.206.92.153,8562,0,false,NRT,Asia Pacific,Tokyo,179,0.26
103.20.199.88,30002,0,false,NRT,Asia Pacific,Tokyo,46,0.13
45.76.198.248,443,0,true,NRT,Asia Pacific,Tokyo,111,0.11
101.36.113.25,58081,80,false,NRT,Asia Pacific,Tokyo,45,0.10
107.155.15.87,60881,0,false,NRT,Asia Pacific,Tokyo,108,0.09
195.245.242.190,5207,443,true,NRT,Asia Pacific,Tokyo,170,0.09
45.142.166.55,22387,0,false,NRT,Asia Pacific,Tokyo,169,0.09
103.20.199.101,33004,0,true,NRT,Asia Pacific,Tokyo,50,0.07
103.20.199.72,47015,0,true,NRT,Asia Pacific,Tokyo,48,0.06
103.20.199.246,44124,0,true,NRT,Asia Pacific,Tokyo,55,0.05
46.3.107.140,33333,0,true,NRT,Asia Pacific,Tokyo,44,0.04
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,213,0.01
193.123.235.59,443,0,true,NRT,Asia Pacific,Tokyo,83,0.00
