IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.169.123.202,443,443,true,SIN,Asia Pacific,Singapore,74,5.34
54.179.154.170,2086,0,true,SIN,Asia Pacific,Singapore,68,4.11
47.76.243.157,80,0,true,SIN,Asia Pacific,Singapore,43,3.85
38.147.188.26,8003,0,true,SIN,Asia Pacific,Singapore,42,3.05
103.30.78.45,777,443,true,SIN,Asia Pacific,Singapore,53,2.48
43.156.181.203,443,443,true,SIN,Asia Pacific,Singapore,85,2.40
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,46,2.37
154.204.183.144,56843,443,true,SIN,Asia Pacific,Singapore,66,2.36
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,40,2.24
47.236.113.184,443,443,true,SIN,Asia Pacific,Singapore,76,2.13
52.76.211.239,443,0,true,SIN,Asia Pacific,Singapore,78,1.81
20.2.4.210,443,443,true,SIN,Asia Pacific,Singapore,103,1.78
8.213.208.51,8443,443,true,SIN,Asia Pacific,Singapore,380,1.59
52.221.254.206,8443,0,true,SIN,Asia Pacific,Singapore,73,1.54
8.222.233.183,443,0,true,SIN,Asia Pacific,Singapore,78,1.35
47.236.75.163,8443,0,true,SIN,Asia Pacific,Singapore,74,1.33
13.228.142.218,443,0,true,SIN,Asia Pacific,Singapore,72,1.27
23.225.64.72,25017,443,true,SIN,Asia Pacific,Singapore,85,1.24
96.0.147.114,80,0,false,SIN,Asia Pacific,Singapore,133,1.15
43.156.116.194,443,0,true,SIN,Asia Pacific,Singapore,128,0.93
206.237.20.40,22876,443,true,SIN,Asia Pacific,Singapore,53,0.77
47.236.181.185,8443,443,true,SIN,Asia Pacific,Singapore,85,0.76
139.84.162.197,443,443,true,SIN,Asia Pacific,Singapore,212,0.72
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,130,0.71
45.87.103.162,50007,0,true,SIN,Asia Pacific,Singapore,39,0.67
54.169.229.188,443,0,true,SIN,Asia Pacific,Singapore,69,0.47
38.147.188.87,8001,0,true,SIN,Asia Pacific,Singapore,47,0.46
45.87.103.35,50007,0,true,SIN,Asia Pacific,Singapore,43,0.39
154.17.225.138,59430,0,true,SIN,Asia Pacific,Singapore,162,0.31
120.220.19.103,2082,0,false,SIN,Asia Pacific,Singapore,33,0.25
120.220.19.103,2052,2052,false,SIN,Asia Pacific,Singapore,44,0.20
13.229.159.215,443,0,true,SIN,Asia Pacific,Singapore,72,0.17
120.220.19.109,2052,2052,false,SIN,Asia Pacific,Singapore,31,0.16
13.228.155.72,443,443,true,SIN,Asia Pacific,Singapore,71,0.14
120.220.19.109,2082,2082,false,SIN,Asia Pacific,Singapore,40,0.13
172.188.90.14,8080,80,false,SIN,Asia Pacific,Singapore,85,0.04
172.93.188.140,443,443,true,SIN,Asia Pacific,Singapore,181,0.02
34.124.151.234,80,0,false,SIN,Asia Pacific,Singapore,75,0.01
34.124.151.234,443,443,true,SIN,Asia Pacific,Singapore,75,0.01
8.223.2.222,80,80,false,SIN,Asia Pacific,Singapore,40,0.00
