IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.200.202.118,443,0,true,BOM,Asia Pacific,Mumbai,227,2.98
35.244.133.3,80,80,false,LAX,North America,Los Angeles,187,2.13
34.102.111.127,80,0,false,LAX,North America,Los Angeles,171,2.12
34.117.254.68,80,0,false,LAX,North America,Los Angeles,211,1.53
34.106.175.80,8443,443,true,SLC,North America,Salt Lake City,197,1.15
34.36.183.121,80,80,false,LAX,North America,Los Angeles,205,1.05
35.246.168.59,8443,0,true,FRA,Europe,Frankfurt,209,1.01
34.105.189.25,443,0,true,LHR,Europe,London,209,0.94
34.105.49.234,80,0,false,SEA,North America,Seattle,201,0.91
35.222.222.227,443,0,true,ORD,North America,Chicago,204,0.90
34.22.190.30,443,443,true,CDG,Europe,Paris,220,0.88
35.247.124.181,80,0,false,SEA,North America,Seattle,195,0.72
34.22.142.117,443,0,true,CDG,Europe,Paris,207,0.72
35.197.23.75,443,0,true,SEA,North America,Seattle,213,0.69
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,219,0.64
35.226.211.129,443,443,true,ORD,North America,Chicago,206,0.61
35.228.132.81,2053,0,true,ARN,Europe,Stockholm,252,0.56
34.82.76.253,80,80,false,SEA,North America,Seattle,171,0.53
34.82.76.253,443,443,true,SEA,North America,Seattle,189,0.44
34.94.33.105,443,443,true,LAX,North America,Los Angeles,197,0.44
35.228.132.81,8443,0,true,ARN,Europe,Stockholm,252,0.36
34.66.72.229,443,443,true,ORD,North America,Chicago,229,0.30
35.246.168.59,2053,443,true,FRA,Europe,Frankfurt,209,0.29
35.197.239.137,443,443,true,LHR,Europe,London,207,0.26
35.189.113.240,443,443,true,LHR,Europe,London,201,0.25
34.160.118.77,80,0,false,LAX,North America,Los Angeles,216,0.24
34.45.111.87,443,0,true,ORD,North America,Chicago,228,0.24
34.147.231.33,443,0,true,LHR,Europe,London,227,0.23
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,332,0.23
34.94.98.138,443,0,true,LAX,North America,Los Angeles,214,0.22
35.228.168.221,443,443,true,ARN,Europe,Stockholm,227,0.12
35.200.154.186,443,443,true,BOM,Asia Pacific,Mumbai,359,0.09
34.142.31.109,443,0,true,LHR,Europe,London,222,0.03
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,177,0.01
34.124.151.234,443,0,true,SIN,Asia Pacific,Singapore,81,0.01
34.96.172.212,443,0,true,HKG,Asia Pacific,Hong Kong,201,0.01
