IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.87.103.162,51402,443,true,HKG,Asia Pacific,Hong Kong,35,3.54
154.9.246.174,11937,0,true,HKG,Asia Pacific,Hong Kong,50,2.98
154.9.246.174,23989,0,true,HKG,Asia Pacific,Hong Kong,40,2.68
154.9.246.174,41482,0,true,HKG,Asia Pacific,Hong Kong,39,2.65
154.9.245.29,21475,443,true,HKG,Asia Pacific,Hong Kong,42,2.48
154.9.246.36,18732,0,true,HKG,Asia Pacific,Hong Kong,58,2.45
154.9.245.29,43678,0,true,HKG,Asia Pacific,Hong Kong,56,2.29
154.9.246.174,22516,443,true,HKG,Asia Pacific,Hong Kong,53,2.24
154.9.245.29,42684,443,true,HKG,Asia Pacific,Hong Kong,47,1.94
45.11.76.169,8899,0,false,HKG,Asia Pacific,Hong Kong,104,1.80
154.9.245.29,14088,443,true,HKG,Asia Pacific,Hong Kong,50,1.62
154.9.246.169,28067,443,true,HKG,Asia Pacific,Hong Kong,59,1.40
154.9.245.29,56044,0,true,HKG,Asia Pacific,Hong Kong,42,1.32
206.237.22.91,54119,0,true,HKG,Asia Pacific,Hong Kong,55,1.30
206.237.24.232,36485,443,true,HKG,Asia Pacific,Hong Kong,44,1.23
154.9.246.169,53819,443,true,HKG,Asia Pacific,Hong Kong,55,1.22
156.251.179.27,50048,443,true,HKG,Asia Pacific,Hong Kong,46,1.20
45.64.75.26,34239,443,true,HKG,Asia Pacific,Hong Kong,117,1.20
154.9.246.36,28141,0,true,HKG,Asia Pacific,Hong Kong,61,1.17
103.115.40.133,36332,443,true,HKG,Asia Pacific,Hong Kong,49,1.13
154.9.246.174,53831,0,true,HKG,Asia Pacific,Hong Kong,52,1.09
38.47.100.76,44953,0,true,HKG,Asia Pacific,Hong Kong,53,1.00
38.207.132.218,28357,443,true,HKG,Asia Pacific,Hong Kong,44,0.89
154.201.93.212,19443,443,true,HKG,Asia Pacific,Hong Kong,336,0.82
206.237.29.46,21020,0,true,HKG,Asia Pacific,Hong Kong,46,0.80
206.237.31.10,23860,443,true,HKG,Asia Pacific,Hong Kong,45,0.76
141.11.79.224,65250,0,true,HKG,Asia Pacific,Hong Kong,175,0.75
154.9.246.174,54707,0,true,HKG,Asia Pacific,Hong Kong,40,0.72
38.207.132.218,26887,0,true,HKG,Asia Pacific,Hong Kong,47,0.69
154.9.245.29,13178,0,true,HKG,Asia Pacific,Hong Kong,39,0.69
45.153.130.138,18602,0,true,HKG,Asia Pacific,Hong Kong,54,0.68
154.9.246.36,31089,0,true,HKG,Asia Pacific,Hong Kong,57,0.68
45.152.64.147,36031,0,true,HKG,Asia Pacific,Hong Kong,104,0.66
43.155.71.120,443,0,true,HKG,Asia Pacific,Hong Kong,99,0.65
154.9.246.174,35795,443,true,HKG,Asia Pacific,Hong Kong,48,0.65
45.153.130.138,50375,443,true,HKG,Asia Pacific,Hong Kong,48,0.62
38.207.132.218,27709,0,true,HKG,Asia Pacific,Hong Kong,56,0.60
154.9.246.169,59485,443,true,HKG,Asia Pacific,Hong Kong,54,0.55
206.237.29.46,34869,0,true,HKG,Asia Pacific,Hong Kong,51,0.55
154.9.245.29,30216,0,true,HKG,Asia Pacific,Hong Kong,53,0.54
38.207.132.122,25620,443,true,HKG,Asia Pacific,Hong Kong,49,0.51
206.237.31.98,58367,443,true,HKG,Asia Pacific,Hong Kong,44,0.50
154.9.246.2,28301,0,true,HKG,Asia Pacific,Hong Kong,49,0.49
206.237.25.252,49733,0,true,HKG,Asia Pacific,Hong Kong,47,0.42
206.237.27.79,50833,0,true,HKG,Asia Pacific,Hong Kong,52,0.41
45.153.130.97,25909,443,true,HKG,Asia Pacific,Hong Kong,51,0.41
43.252.231.103,30526,443,true,HKG,Asia Pacific,Hong Kong,98,0.34
154.9.246.174,13637,443,true,HKG,Asia Pacific,Hong Kong,44,0.33
38.207.132.218,44946,443,true,HKG,Asia Pacific,Hong Kong,52,0.20
178.253.32.28,2024,0,true,HKG,Asia Pacific,Hong Kong,175,0.17
18.162.134.60,8443,0,true,HKG,Asia Pacific,Hong Kong,102,0.16
39.115.137.14,443,0,true,HKG,Asia Pacific,Hong Kong,37,0.14
38.207.132.218,53757,443,true,HKG,Asia Pacific,Hong Kong,54,0.13
178.173.237.166,30809,0,false,HKG,Asia Pacific,Hong Kong,37,0.10
163.53.246.105,27054,443,true,HKG,Asia Pacific,Hong Kong,43,0.09
141.11.90.170,45121,0,true,HKG,Asia Pacific,Hong Kong,164,0.07
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,37,0.06
163.53.246.105,27053,0,true,HKG,Asia Pacific,Hong Kong,47,0.03
38.181.35.164,12772,0,true,HKG,Asia Pacific,Hong Kong,33,0.02
34.96.172.212,443,0,true,HKG,Asia Pacific,Hong Kong,178,0.01
157.254.32.25,35449,443,true,HKG,Asia Pacific,Hong Kong,61,0.00
141.11.77.125,59217,0,true,HKG,Asia Pacific,Hong Kong,184,0.00
38.47.106.116,20405,443,true,HKG,Asia Pacific,Hong Kong,102,0.00
154.9.246.174,56111,443,true,HKG,Asia Pacific,Hong Kong,48,0.00
38.207.132.218,46082,0,true,HKG,Asia Pacific,Hong Kong,61,0.00
129.226.12.38,443,0,true,HKG,Asia Pacific,Hong Kong,286,0.00
163.53.246.105,25950,443,true,HKG,Asia Pacific,Hong Kong,47,0.00
206.237.27.53,24954,0,true,HKG,Asia Pacific,Hong Kong,56,0.00
154.9.246.169,17266,443,true,HKG,Asia Pacific,Hong Kong,48,0.00
43.155.28.244,443,443,true,HKG,Asia Pacific,Hong Kong,49,0.00
165.154.43.92,35181,443,true,HKG,Asia Pacific,Hong Kong,38,0.00
103.51.144.97,11110,443,true,HKG,Asia Pacific,Hong Kong,48,0.00
38.207.132.218,45072,0,true,HKG,Asia Pacific,Hong Kong,44,0.00
154.9.246.136,8000,0,false,HKG,Asia Pacific,Hong Kong,49,0.00
45.153.130.138,45708,0,true,HKG,Asia Pacific,Hong Kong,57,0.00
202.81.231.150,80,0,false,HKG,Asia Pacific,Hong Kong,221,0.00
45.153.130.138,36919,443,true,HKG,Asia Pacific,Hong Kong,51,0.00
