IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.38.14.190,8443,443,true,CDG,Europe,Paris,321,2.24
35.181.169.229,8443,0,true,CDG,Europe,Paris,320,1.80
158.178.192.221,443,0,true,CDG,Europe,Paris,339,1.32
15.237.197.179,8443,0,true,CDG,Europe,Paris,321,1.23
89.168.43.31,2053,0,true,CDG,Europe,Paris,322,1.17
51.44.18.28,8443,443,true,CDG,Europe,Paris,321,1.09
13.37.133.212,8443,0,true,CDG,Europe,Paris,320,1.08
141.145.205.115,8443,8443,true,CDG,Europe,Paris,319,1.02
13.38.3.0,2053,0,true,CDG,Europe,Paris,321,0.92
158.178.196.15,2053,0,true,CDG,Europe,Paris,321,0.76
35.181.77.67,443,443,true,CDG,Europe,Paris,320,0.70
15.237.255.62,2083,0,true,CDG,Europe,Paris,321,0.65
40.66.63.160,80,80,false,CDG,Europe,Paris,327,0.65
13.38.185.55,443,443,true,CDG,Europe,Paris,320,0.58
13.37.224.156,8443,0,true,CDG,Europe,Paris,321,0.57
94.131.9.56,443,443,true,CDG,Europe,Paris,393,0.48
15.237.137.128,8443,443,true,CDG,Europe,Paris,320,0.33
34.22.190.30,443,0,true,CDG,Europe,Paris,321,0.33
13.37.224.156,2053,443,true,CDG,Europe,Paris,322,0.22
193.187.175.136,443,443,true,CDG,Europe,Paris,393,0.20
51.44.18.28,2053,443,true,CDG,Europe,Paris,321,0.18
158.178.206.197,8443,0,true,CDG,Europe,Paris,321,0.15
15.237.137.128,2053,0,true,CDG,Europe,Paris,321,0.02
38.180.21.33,443,0,true,CDG,Europe,Paris,327,0.01
