IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,133,6.92
38.207.132.218,53757,0,true,HKG,Asia Pacific,Hong Kong,78,6.73
154.9.246.174,11404,443,true,HKG,Asia Pacific,Hong Kong,75,5.57
154.9.245.29,56414,0,true,HKG,Asia Pacific,Hong Kong,118,5.52
154.9.245.29,16703,443,true,HKG,Asia Pacific,Hong Kong,70,5.41
154.9.245.29,21396,443,true,HKG,Asia Pacific,Hong Kong,63,5.37
154.9.245.29,18241,0,true,HKG,Asia Pacific,Hong Kong,103,4.82
154.9.245.29,27483,443,true,HKG,Asia Pacific,Hong Kong,68,4.81
149.104.18.225,19998,0,false,HKG,Asia Pacific,Hong Kong,51,4.49
154.9.246.174,28263,0,true,HKG,Asia Pacific,Hong Kong,51,4.30
45.87.103.162,51402,443,true,HKG,Asia Pacific,Hong Kong,105,4.21
154.9.246.36,18732,0,true,HKG,Asia Pacific,Hong Kong,43,3.63
103.51.144.97,11110,0,true,HKG,Asia Pacific,Hong Kong,47,3.28
206.237.29.46,58601,0,true,HKG,Asia Pacific,Hong Kong,44,3.16
206.237.24.248,15423,0,true,HKG,Asia Pacific,Hong Kong,56,3.04
163.53.246.105,25953,443,true,HKG,Asia Pacific,Hong Kong,55,3.02
178.173.237.178,30809,0,false,HKG,Asia Pacific,Hong Kong,38,3.02
38.147.174.67,843,0,true,HKG,Asia Pacific,Hong Kong,51,2.86
156.251.183.241,30809,80,false,HKG,Asia Pacific,Hong Kong,54,2.86
154.88.25.179,28985,0,true,HKG,Asia Pacific,Hong Kong,51,2.67
47.238.198.21,443,0,true,HKG,Asia Pacific,Hong Kong,39,2.58
38.207.132.218,31759,0,true,HKG,Asia Pacific,Hong Kong,54,2.51
206.237.22.91,54119,0,true,HKG,Asia Pacific,Hong Kong,48,2.37
154.9.246.169,10829,0,true,HKG,Asia Pacific,Hong Kong,77,2.13
206.237.6.234,11452,0,true,HKG,Asia Pacific,Hong Kong,122,2.01
206.237.29.46H,26887,0,true,HKG,Asia Pacific,Hong Kong,46,2.01
154.9.246.174,13637,443,true,HKG,Asia Pacific,Hong Kong,51,1.98
38.207.132.218,45072,0,true,HKG,Asia Pacific,Hong Kong,102,1.97
154.9.247.80,10000,0,true,HKG,Asia Pacific,Hong Kong,49,1.78
206.237.31.94,3443,0,true,HKG,Asia Pacific,Hong Kong,57,1.76
165.154.43.92,35187,443,true,HKG,Asia Pacific,Hong Kong,36,1.75
165.154.41.40,443,0,true,HKG,Asia Pacific,Hong Kong,37,1.73
103.235.18.253,11189,0,true,HKG,Asia Pacific,Hong Kong,55,1.65
152.32.190.205,37766,0,true,HKG,Asia Pacific,Hong Kong,48,1.59
45.8.186.160,8443,443,true,HKG,Asia Pacific,Hong Kong,133,1.56
163.53.246.105,27043,0,true,HKG,Asia Pacific,Hong Kong,41,1.50
154.9.245.29,34521,0,true,HKG,Asia Pacific,Hong Kong,102,1.50
219.76.13.183,443,443,true,HKG,Asia Pacific,Hong Kong,630,1.49
43.247.134.147,47575,0,true,HKG,Asia Pacific,Hong Kong,139,1.48
47.76.62.62,8443,443,true,HKG,Asia Pacific,Hong Kong,40,1.40
206.237.31.10,11359,0,true,HKG,Asia Pacific,Hong Kong,54,1.38
38.47.108.24,60999,80,false,HKG,Asia Pacific,Hong Kong,49,1.37
