IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
4.255.56.138,80,0,false,IAD,North America,Ashburn,241,2.35
4.255.56.137,80,80,false,IAD,North America,Ashburn,279,1.94
52.252.14.249,443,0,true,IAD,North America,Ashburn,283,1.65
67.226.220.10,443,443,true,IAD,North America,Ashburn,232,1.25
20.62.202.159,443,0,true,IAD,North America,Ashburn,262,1.03
48.217.34.120,443,0,true,IAD,North America,Ashburn,241,0.93
40.79.73.114,8443,443,true,IAD,North America,Ashburn,245,0.92
172.174.249.255,80,80,false,IAD,North America,Ashburn,280,0.79
204.110.222.83,443,443,true,IAD,North America,Ashburn,218,0.73
20.121.115.188,443,443,true,IAD,North America,Ashburn,237,0.73
4.153.39.186,443,0,true,IAD,North America,Ashburn,247,0.71
40.123.41.147,8443,0,true,IAD,North America,Ashburn,249,0.67
20.81.104.97,80,0,false,IAD,North America,Ashburn,231,0.65
172.212.108.47,443,0,true,IAD,North America,Ashburn,286,0.60
172.208.44.21,443,0,true,IAD,North America,Ashburn,272,0.52
20.36.131.211,443,443,true,IAD,North America,Ashburn,274,0.47
150.136.240.243,443,443,true,IAD,North America,Ashburn,231,0.41
40.123.47.252,8443,0,true,IAD,North America,Ashburn,251,0.41
172.174.249.255,443,0,true,IAD,North America,Ashburn,251,0.41
104.46.111.142,8443,443,true,IAD,North America,Ashburn,248,0.35
150.136.169.72,443,443,true,IAD,North America,Ashburn,239,0.34
18.235.208.126,443,0,true,IAD,North America,Ashburn,237,0.31
104.210.3.231,8443,443,true,IAD,North America,Ashburn,270,0.28
172.177.248.69,8443,443,true,IAD,North America,Ashburn,269,0.25
67.226.221.231,443,0,true,IAD,North America,Ashburn,254,0.24
129.213.136.180,443,0,true,IAD,North America,Ashburn,221,0.21
40.123.47.225,8443,0,true,IAD,North America,Ashburn,289,0.17
107.175.245.68,50242,0,true,IAD,North America,Ashburn,285,0.16
43.130.99.209,443,0,true,IAD,North America,Ashburn,350,0.03
43.130.99.209,80,0,false,IAD,North America,Ashburn,350,0.01
172.191.74.198,443,0,true,IAD,North America,Ashburn,269,0.00
