IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
58.76.170.119,30058,443,true,ICN,Asia Pacific,Seoul,182,1.90
43.201.69.223,8443,0,true,ICN,Asia Pacific,Seoul,182,1.87
140.238.19.2,443,80,false,ICN,Asia Pacific,Seoul,183,1.78
45.94.68.215,59340,443,true,ICN,Asia Pacific,Seoul,184,1.23
146.56.133.140,2096,0,false,ICN,Asia Pacific,Seoul,181,1.08
146.56.45.187,443,0,true,ICN,Asia Pacific,Seoul,183,1.03
140.238.29.117,443,0,false,ICN,Asia Pacific,Seoul,182,1.00
111.118.24.178,16642,0,true,ICN,Asia Pacific,Seoul,192,0.71
61.111.251.245,34237,0,true,ICN,Asia Pacific,Seoul,182,0.43
193.123.250.209,2087,0,true,ICN,Asia Pacific,Seoul,181,0.42
59.187.245.232,14755,443,true,ICN,Asia Pacific,Seoul,183,0.41
52.79.235.86,80,80,false,ICN,Asia Pacific,Seoul,181,0.38
59.187.245.232,14308,443,true,ICN,Asia Pacific,Seoul,184,0.36
4.230.8.95,443,0,true,ICN,Asia Pacific,Seoul,183,0.35
45.87.103.162,10001,0,true,ICN,Asia Pacific,Seoul,39,0.27
13.209.22.185,80,80,false,ICN,Asia Pacific,Seoul,183,0.20
59.3.3.161,443,0,true,ICN,Asia Pacific,Seoul,182,0.17
152.70.249.67,443,0,true,ICN,Asia Pacific,Seoul,181,0.00
