IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.135.117.19,63331,443,true,LAX,North America,Los Angeles,169,2.37
45.249.244.53,80,80,false,LAX,North America,Los Angeles,217,2.26
193.22.152.131,30664,443,true,LAX,North America,Los Angeles,216,2.23
154.21.91.92,10001,443,true,LAX,North America,Los Angeles,214,2.14
154.17.229.17,36342,443,true,LAX,North America,Los Angeles,155,1.80
185.183.84.233,443,443,true,LAX,North America,Los Angeles,146,1.73
152.70.155.147,8080,0,false,LAX,North America,Los Angeles,182,1.73
23.165.248.56,22389,0,true,LAX,North America,Los Angeles,165,1.71
216.38.168.196,41118,443,true,LAX,North America,Los Angeles,172,1.46
104.166.125.210,443,443,true,LAX,North America,Los Angeles,200,1.42
154.21.80.108,35354,0,true,LAX,North America,Los Angeles,210,1.41
212.103.62.244,19560,0,true,LAX,North America,Los Angeles,148,1.39
38.207.129.249,30935,0,true,LAX,North America,Los Angeles,212,1.37
202.91.34.132,46820,443,true,LAX,North America,Los Angeles,151,1.35
152.70.155.147,2052,0,false,LAX,North America,Los Angeles,181,1.27
38.207.171.169,38835,443,true,LAX,North America,Los Angeles,210,1.20
154.21.80.57,39258,443,true,LAX,North America,Los Angeles,157,1.18
2.59.151.232,15110,443,true,LAX,North America,Los Angeles,155,1.17
152.70.155.147,8880,8880,false,LAX,North America,Los Angeles,227,1.14
38.207.129.143,39966,0,true,LAX,North America,Los Angeles,214,1.12
2.59.151.85,48333,443,true,LAX,North America,Los Angeles,210,1.11
154.21.87.116,23215,0,true,LAX,North America,Los Angeles,156,1.11
152.70.155.147,2053,0,true,LAX,North America,Los Angeles,182,1.10
154.17.30.93,443,0,true,LAX,North America,Los Angeles,166,1.02
154.17.19.18,30684,0,true,LAX,North America,Los Angeles,160,1.00
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,222,0.99
154.17.31.108,19355,0,true,LAX,North America,Los Angeles,212,0.98
154.17.228.191,12345,0,true,LAX,North America,Los Angeles,212,0.98
38.49.59.43,443,0,true,LAX,North America,Los Angeles,167,0.96
38.207.129.143,53606,0,true,LAX,North America,Los Angeles,172,0.95
154.17.9.71,882,443,true,LAX,North America,Los Angeles,161,0.93
23.169.184.179,57812,0,true,LAX,North America,Los Angeles,215,0.92
154.21.90.82,51111,443,true,LAX,North America,Los Angeles,155,0.92
207.60.50.213,26114,443,true,LAX,North America,Los Angeles,163,0.91
193.9.44.181,35161,443,true,LAX,North America,Los Angeles,155,0.91
154.21.85.152,24757,0,true,LAX,North America,Los Angeles,163,0.89
154.21.80.55,13171,443,true,LAX,North America,Los Angeles,160,0.83
154.17.228.214,2345,0,true,LAX,North America,Los Angeles,160,0.82
154.17.25.65,1443,0,true,LAX,North America,Los Angeles,212,0.79
154.17.27.91,34311,443,true,LAX,North America,Los Angeles,157,0.79
154.17.17.205,11349,0,true,LAX,North America,Los Angeles,212,0.77
172.247.129.59,34237,2096,true,LAX,North America,Los Angeles,215,0.77
154.9.249.160,35506,443,true,LAX,North America,Los Angeles,215,0.70
154.29.147.199,443,443,true,LAX,North America,Los Angeles,225,0.70
154.64.238.134,25280,443,true,LAX,North America,Los Angeles,212,0.69
45.91.81.229,54545,443,true,LAX,North America,Los Angeles,167,0.68
104.167.247.188,8651,443,true,LAX,North America,Los Angeles,167,0.65
154.17.230.102,50885,443,true,LAX,North America,Los Angeles,211,0.63
23.165.40.250,18490,443,true,LAX,North America,Los Angeles,166,0.62
45.91.82.74,443,0,true,LAX,North America,Los Angeles,167,0.62
154.17.229.171,55110,443,true,LAX,North America,Los Angeles,158,0.62
185.238.248.47,11876,443,true,LAX,North America,Los Angeles,215,0.59
2.59.151.75,57883,0,true,LAX,North America,Los Angeles,172,0.58
154.9.249.84,56628,443,true,LAX,North America,Los Angeles,186,0.57
154.17.25.7,50376,443,true,LAX,North America,Los Angeles,161,0.51
198.46.200.138,54986,443,true,LAX,North America,Los Angeles,180,0.45
154.12.59.52,38394,443,true,LAX,North America,Los Angeles,211,0.44
38.207.166.33,27888,443,true,LAX,North America,Los Angeles,150,0.44
154.17.4.191,35378,0,true,LAX,North America,Los Angeles,159,0.43
66.154.116.165,443,443,true,LAX,North America,Los Angeles,250,0.42
154.29.150.161,44754,443,true,LAX,North America,Los Angeles,215,0.41
20.33.30.36,2083,0,true,LAX,North America,Los Angeles,229,0.41
154.9.241.153,44075,443,true,LAX,North America,Los Angeles,201,0.41
154.23.247.88,38457,0,true,LAX,North America,Los Angeles,168,0.39
154.17.226.32,62096,0,true,LAX,North America,Los Angeles,155,0.38
154.26.238.144,57092,443,true,LAX,North America,Los Angeles,215,0.37
20.38.32.52,443,443,true,LAX,North America,Los Angeles,207,0.34
154.17.19.203,32826,443,true,LAX,North America,Los Angeles,164,0.34
172.247.129.10,12201,443,true,LAX,North America,Los Angeles,178,0.33
154.17.20.43,13600,0,true,LAX,North America,Los Angeles,212,0.33
154.17.10.2,14257,0,true,LAX,North America,Los Angeles,209,0.33
23.158.136.28,33670,0,true,LAX,North America,Los Angeles,214,0.32
172.245.223.124,8100,0,true,LAX,North America,Los Angeles,201,0.30
199.180.155.172,443,0,true,LAX,North America,Los Angeles,257,0.29
45.140.88.214,4443,0,true,LAX,North America,Los Angeles,187,0.28
154.17.230.120,34799,443,true,LAX,North America,Los Angeles,209,0.27
38.47.239.164,48348,0,true,LAX,North America,Los Angeles,215,0.27
154.9.241.153,22116,0,true,LAX,North America,Los Angeles,191,0.21
34.111.135.19,80,0,false,LAX,North America,Los Angeles,280,0.16
129.153.126.67,443,0,true,LAX,North America,Los Angeles,223,0.14
34.94.98.138,443,443,true,LAX,North America,Los Angeles,263,0.13
34.94.33.105,443,0,true,LAX,North America,Los Angeles,271,0.08
89.213.182.246,60002,0,true,LAX,North America,Los Angeles,216,0.07
47.90.141.204,80,80,false,LAX,North America,Los Angeles,409,0.03
63.237.48.111,443,0,true,LAX,North America,Los Angeles,278,0.02
34.49.70.151,80,0,false,LAX,North America,Los Angeles,264,0.00
23.166.168.67,13117,0,true,LAX,North America,Los Angeles,213,0.00
38.49.38.178,443,443,true,LAX,North America,Los Angeles,216,0.00
154.23.240.148,15577,0,true,LAX,North America,Los Angeles,169,0.00
104.167.247.188,8655,443,true,LAX,North America,Los Angeles,213,0.00
23.166.168.219,43636,443,true,LAX,North America,Los Angeles,214,0.00
23.166.168.86,13283,0,true,LAX,North America,Los Angeles,212,0.00
154.9.241.153,10276,0,true,LAX,North America,Los Angeles,213,0.00
154.9.241.153,59254,0,true,LAX,North America,Los Angeles,215,0.00
45.91.81.45,37070,0,true,LAX,North America,Los Angeles,168,0.00
23.165.248.247,43731,0,true,LAX,North America,Los Angeles,168,0.00
104.167.247.188,8554,443,true,LAX,North America,Los Angeles,215,0.00
206.119.79.141,31346,443,true,LAX,North America,Los Angeles,214,0.00
212.103.62.226,30129,443,true,LAX,North America,Los Angeles,215,0.00
