IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.8.172.27,8080,443,true,LHR,Europe,London,194,2.15
18.134.147.9,8080,443,true,LHR,Europe,London,199,1.80
20.90.163.76,8443,0,true,LHR,Europe,London,233,1.37
18.133.250.248,8080,0,true,LHR,Europe,London,197,1.22
132.145.54.84,2053,0,true,LHR,Europe,London,204,1.12
13.40.25.196,8443,443,true,LHR,Europe,London,200,1.07
38.59.225.200,40755,0,true,LHR,Europe,London,196,1.06
18.133.253.214,8080,0,true,LHR,Europe,London,194,1.04
18.168.114.50,443,0,true,LHR,Europe,London,204,0.97
38.59.225.200,54420,443,true,LHR,Europe,London,160,0.92
51.24.0.9,443,443,true,LHR,Europe,London,194,0.89
91.231.186.167,443,443,true,LHR,Europe,London,198,0.85
35.177.194.94,80,443,true,LHR,Europe,London,194,0.76
18.130.70.64,2096,443,true,LHR,Europe,London,194,0.70
18.170.220.62,80,0,true,LHR,Europe,London,195,0.70
35.179.107.222,80,0,true,LHR,Europe,London,195,0.65
3.8.4.143,2096,443,true,LHR,Europe,London,203,0.63
3.8.127.70,443,443,true,LHR,Europe,London,199,0.62
18.132.37.46,80,443,true,LHR,Europe,London,203,0.61
18.175.224.91,2053,443,true,LHR,Europe,London,194,0.61
35.179.150.154,80,443,true,LHR,Europe,London,198,0.58
34.105.189.25,443,443,true,LHR,Europe,London,204,0.58
3.8.212.197,443,0,true,LHR,Europe,London,203,0.56
3.8.141.213,8443,443,true,LHR,Europe,London,199,0.55
3.8.154.29,80,0,true,LHR,Europe,London,194,0.54
18.175.224.91,8443,0,true,LHR,Europe,London,194,0.52
18.168.151.116,8080,0,true,LHR,Europe,London,192,0.49
18.133.225.206,8080,0,true,LHR,Europe,London,174,0.49
35.178.213.86,80,0,true,LHR,Europe,London,191,0.46
18.130.254.28,8080,443,true,LHR,Europe,London,194,0.44
35.178.172.46,443,443,true,LHR,Europe,London,193,0.44
38.59.224.24,25642,443,true,LHR,Europe,London,164,0.43
141.147.85.167,8443,0,true,LHR,Europe,London,191,0.42
51.140.154.44,2086,0,false,LHR,Europe,London,225,0.38
3.8.5.121,80,0,true,LHR,Europe,London,195,0.37
35.176.122.244,2053,0,true,LHR,Europe,London,198,0.37
35.176.229.223,443,0,true,LHR,Europe,London,197,0.36
3.8.185.82,8080,443,true,LHR,Europe,London,196,0.35
38.59.224.24,38903,443,true,LHR,Europe,London,195,0.35
3.11.114.146,8443,0,true,LHR,Europe,London,193,0.33
212.38.166.47,443,443,true,LHR,Europe,London,311,0.32
13.40.120.52,80,0,true,LHR,Europe,London,195,0.32
38.59.224.24,35525,443,true,LHR,Europe,London,197,0.31
18.134.101.177,443,0,true,LHR,Europe,London,199,0.27
38.59.224.24,43509,443,true,LHR,Europe,London,195,0.22
3.11.162.221,443,443,true,LHR,Europe,London,203,0.18
18.171.236.219,8443,443,true,LHR,Europe,London,200,0.18
20.33.62.19,2083,0,true,LHR,Europe,London,258,0.16
35.189.113.240,443,0,true,LHR,Europe,London,208,0.15
35.197.239.137,443,0,true,LHR,Europe,London,206,0.15
18.134.37.97,443,0,true,LHR,Europe,London,201,0.04
185.87.150.54,443,0,true,LHR,Europe,London,322,0.03
38.180.62.4,443,0,true,LHR,Europe,London,338,0.00
