IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.199.224.90,80,0,false,NRT,Asia Pacific,Tokyo,67,2.64
45.142.166.55,22387,80,false,NRT,Asia Pacific,Tokyo,269,2.06
38.147.191.180,32047,443,true,KIX,Asia Pacific,Osaka,66,1.84
154.64.226.138,80,80,false,NRT,Asia Pacific,Tokyo,140,1.46
173.240.13.110,1,80,false,NRT,Asia Pacific,Tokyo,140,1.31
109.107.137.56,19358,0,true,NRT,Asia Pacific,Tokyo,268,1.12
60.205.0.210,80,80,false,NRT,Asia Pacific,Tokyo,64,1.09
123.108.70.109,443,443,true,NRT,Asia Pacific,Tokyo,268,0.97
193.111.31.133,50896,443,true,NRT,Asia Pacific,Tokyo,268,0.93
123.254.104.133,40810,0,false,NRT,Asia Pacific,Tokyo,65,0.76
13.230.34.30,80,0,false,NRT,Asia Pacific,Tokyo,66,0.67
206.237.127.54,47584,443,true,NRT,Asia Pacific,Tokyo,268,0.66
103.150.8.172,4433,0,true,NRT,Asia Pacific,Tokyo,268,0.51
45.60.186.91,2052,0,false,SEA,North America,Seattle,269,0.30
45.60.186.91,2082,2082,false,SEA,North America,Seattle,268,0.28
8.140.56.136,80,0,false,NRT,Asia Pacific,Tokyo,67,0.27
195.245.242.190,5207,0,true,NRT,Asia Pacific,Tokyo,269,0.20
103.20.199.101,33004,443,true,NRT,Asia Pacific,Tokyo,140,0.15
103.20.199.246,44124,443,true,NRT,Asia Pacific,Tokyo,140,0.12
45.76.198.248,443,443,true,NRT,Asia Pacific,Tokyo,139,0.12
103.20.199.72,47015,0,true,NRT,Asia Pacific,Tokyo,140,0.09
176.119.148.14,57956,443,true,NRT,Asia Pacific,Tokyo,139,0.07
45.159.48.192,12212,0,true,NRT,Asia Pacific,Tokyo,269,0.03
172.93.220.153,12345,0,false,NRT,Asia Pacific,Tokyo,271,0.02
