IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
198.46.218.63,27149,443,true,ORD,North America,Chicago,269,2.83
18.221.243.12,443,0,true,ORD,North America,Chicago,235,2.18
164.152.26.70,2052,443,true,ORD,North America,Chicago,209,1.98
172.245.68.220,17524,443,true,ORD,North America,Chicago,286,1.42
18.190.127.150,443,443,true,ORD,North America,Chicago,248,1.31
198.46.215.183,50964,443,true,ORD,North America,Chicago,291,1.10
206.217.131.12,21656,0,true,ORD,North America,Chicago,288,0.68
3.13.196.41,443,0,true,ATL,North America,Atlanta,210,0.64
3.16.139.169,443,0,true,ORD,North America,Chicago,217,0.57
35.222.222.227,443,0,true,ORD,North America,Chicago,220,0.53
23.94.136.126,80,443,true,ORD,North America,Chicago,294,0.51
3.23.238.192,80,80,false,ORD,North America,Chicago,232,0.43
198.46.159.248,36804,0,true,ORD,North America,Chicago,293,0.33
108.174.50.200,2083,443,true,ORD,North America,Chicago,300,0.28
34.123.83.237,443,443,true,ORD,North America,Chicago,249,0.27
34.41.252.92,443,0,true,ORD,North America,Chicago,298,0.26
23.94.136.126,8080,0,true,ORD,North America,Chicago,259,0.26
198.144.183.24,443,0,true,ORD,North America,Chicago,259,0.17
34.45.111.87,443,0,true,ORD,North America,Chicago,281,0.15
107.174.78.157,443,0,true,ORD,North America,Chicago,267,0.07
