IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.1.116.161,8443,0,true,SIN,Asia Pacific,Singapore,70,1.97
8.219.129.170,2053,443,true,SIN,Asia Pacific,Singapore,66,1.87
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,66,1.53
18.139.225.83,8443,0,true,SIN,Asia Pacific,Singapore,66,1.37
3.1.116.161,2053,0,true,SIN,Asia Pacific,Singapore,64,1.16
120.220.19.103,2052,2052,false,SIN,Asia Pacific,Singapore,33,0.81
120.220.19.103,2082,2082,false,SIN,Asia Pacific,Singapore,30,0.75
120.220.19.109,2082,2082,false,SIN,Asia Pacific,Singapore,33,0.73
54.169.123.202,443,0,true,SIN,Asia Pacific,Singapore,68,0.66
13.229.84.65,443,0,true,SIN,Asia Pacific,Singapore,73,0.55
103.30.78.45,777,443,true,SIN,Asia Pacific,Singapore,44,0.52
206.237.20.40,22876,0,true,SIN,Asia Pacific,Singapore,46,0.43
38.147.188.26,8003,0,true,SIN,Asia Pacific,Singapore,42,0.37
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,73,0.33
43.156.116.194,443,0,true,SIN,Asia Pacific,Singapore,185,0.27
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,185,0.21
13.228.155.72,443,0,true,SIN,Asia Pacific,Singapore,68,0.11
217.142.187.83,8443,0,true,SIN,Asia Pacific,Singapore,278,0.08
34.124.151.234,443,0,true,SIN,Asia Pacific,Singapore,73,0.01
8.223.3.253,80,0,false,SIN,Asia Pacific,Singapore,46,0.00
