IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
65.75.195.188,29913,0,true,SJC,North America,San Jose,156,3.97
37.123.193.178,24915,443,true,SJC,North America,San Jose,159,3.00
50.18.133.190,80,443,true,SJC,North America,San Jose,184,2.91
38.59.249.142,20657,443,true,SJC,North America,San Jose,148,2.77
37.123.193.178,14867,0,true,SJC,North America,San Jose,199,2.31
65.75.194.7,12266,443,true,SJC,North America,San Jose,157,1.99
65.75.195.188,16081,0,true,SJC,North America,San Jose,154,1.87
38.59.241.39,10000,443,true,SJC,North America,San Jose,149,1.84
54.177.29.53,80,443,true,SJC,North America,San Jose,191,1.75
45.59.187.24,13284,443,true,SJC,North America,San Jose,173,1.65
174.136.206.70,39880,443,true,SJC,North America,San Jose,157,1.61
45.59.184.80,443,0,true,SJC,North America,San Jose,192,1.61
185.218.7.199,2024,0,true,SJC,North America,San Jose,150,1.49
54.177.215.172,2053,443,true,SJC,North America,San Jose,190,1.47
45.159.208.139,443,0,true,SJC,North America,San Jose,160,1.44
65.75.194.43x,19316,443,true,SJC,North America,San Jose,150,1.44
54.153.96.188,80,0,true,SJC,North America,San Jose,184,1.30
13.56.251.164,80,0,true,SJC,North America,San Jose,194,1.21
18.144.63.244,80,0,true,SJC,North America,San Jose,177,1.11
174.136.206.27,46802,443,true,SJC,North America,San Jose,186,1.01
146.235.211.70,2083,0,true,SJC,North America,San Jose,198,0.95
54.177.87.111,80,0,true,SJC,North America,San Jose,163,0.86
192.9.158.188,443,0,true,SJC,North America,San Jose,212,0.75
65.75.194.66,51246,443,true,SJC,North America,San Jose,210,0.62
50.18.77.96,80,443,true,SJC,North America,San Jose,170,0.61
54.153.85.10,80,443,true,SJC,North America,San Jose,169,0.57
52.53.250.40,80,443,true,SJC,North America,San Jose,190,0.56
136.175.176.2,443,0,true,SJC,North America,San Jose,158,0.50
65.75.192.29,443,443,true,SJC,North America,San Jose,205,0.48
54.193.109.100,80,443,true,SJC,North America,San Jose,156,0.47
185.114.77.159,443,443,true,SJC,North America,San Jose,288,0.41
136.175.176.27,443,0,true,SJC,North America,San Jose,184,0.33
54.177.215.172,8443,0,true,SJC,North America,San Jose,191,0.31
13.56.139.126,80,443,true,SJC,North America,San Jose,179,0.31
49.51.197.141,443,0,true,SJC,North America,San Jose,175,0.30
192.9.159.65,443,0,true,SJC,North America,San Jose,163,0.26
136.175.177.2,50990,0,true,SJC,North America,San Jose,183,0.20
207.2.120.15,443,0,true,SJC,North America,San Jose,175,0.19
45.87.103.162,50008,0,true,SJC,North America,San Jose,37,0.12
107.175.44.118,58621,443,true,SJC,North America,San Jose,269,0.09
107.174.186.62,8443,0,true,SJC,North America,San Jose,250,0.02
23.94.98.225,443,0,true,SJC,North America,San Jose,267,0.02
107.172.103.195,16010,0,true,SJC,North America,San Jose,239,0.02
107.172.103.195,16017,443,true,SJC,North America,San Jose,258,0.01
107.172.103.195,16005,443,true,SJC,North America,San Jose,250,0.01
107.172.103.195,23456,0,true,SJC,North America,San Jose,237,0.01
107.172.103.195,16090,0,true,SJC,North America,San Jose,258,0.01
107.172.103.195,16035,0,true,SJC,North America,San Jose,258,0.01
107.172.103.195,16060,443,true,SJC,North America,San Jose,251,0.01
107.172.103.195,16044,443,true,SJC,North America,San Jose,249,0.01
107.172.103.195,16039,443,true,SJC,North America,San Jose,250,0.01
107.172.103.195,16077,443,true,SJC,North America,San Jose,241,0.01
107.172.103.195,16089,443,true,SJC,North America,San Jose,257,0.01
107.172.103.195,16007,0,true,SJC,North America,San Jose,258,0.01
23.95.67.133,2003,0,true,SJC,North America,San Jose,259,0.01
107.172.103.195,16048,443,true,SJC,North America,San Jose,253,0.01
107.172.103.195,16057,443,true,SJC,North America,San Jose,259,0.01
107.172.103.195,16009,443,true,SJC,North America,San Jose,238,0.01
107.172.103.195,16031,443,true,SJC,North America,San Jose,249,0.01
198.23.246.215,2053,443,true,SJC,North America,San Jose,273,0.01
47.57.233.126,80,0,false,SJC,North America,San Jose,42,0.01
107.172.103.195,16030,0,true,SJC,North America,San Jose,254,0.01
107.172.103.195,16000,0,true,SJC,North America,San Jose,258,0.00
107.172.103.195,16061,0,true,SJC,North America,San Jose,250,0.00
23.94.240.119,443,443,true,SJC,North America,San Jose,262,0.00
