IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.244.133.3,80,80,false,LAX,North America,Los Angeles,269,3.10
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,268,2.05
34.102.111.127,80,80,false,LAX,North America,Los Angeles,191,1.80
34.91.136.173,443,0,true,AMS,Europe,Amsterdam,210,1.65
35.246.168.59,2053,443,true,FRA,Europe,Frankfurt,207,1.40
34.175.202.195,443,443,true,MAD,Europe,Madrid,268,1.11
35.246.168.59,8443,0,true,FRA,Europe,Frankfurt,196,1.05
34.117.254.68,80,0,false,LAX,North America,Los Angeles,269,0.81
34.22.190.30,443,0,true,CDG,Europe,Paris,205,0.66
34.105.49.234,80,0,false,SEA,North America,Seattle,274,0.46
35.247.124.181,80,80,false,SEA,North America,Seattle,213,0.41
35.222.222.227,443,443,true,ORD,North America,Chicago,270,0.37
35.189.113.240,443,443,true,LHR,Europe,London,206,0.36
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,348,0.33
34.106.175.80,2053,0,true,SLC,North America,Salt Lake City,197,0.32
34.22.142.117,443,443,true,CDG,Europe,Paris,207,0.32
35.197.23.75,443,443,true,SEA,North America,Seattle,269,0.31
34.142.31.109,443,443,true,LHR,Europe,London,203,0.24
34.123.83.237,443,443,true,ORD,North America,Chicago,267,0.23
35.247.124.181,443,0,true,SEA,North America,Seattle,269,0.21
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,347,0.21
34.147.231.33,443,0,true,LHR,Europe,London,266,0.20
34.94.98.138,443,0,true,LAX,North America,Los Angeles,269,0.17
34.111.135.19,80,80,false,LAX,North America,Los Angeles,267,0.13
34.36.183.121,80,80,false,LAX,North America,Los Angeles,211,0.12
34.45.111.87,443,443,true,ORD,North America,Chicago,269,0.09
35.228.132.81,443,443,true,LHR,Europe,Stockholm,265,0.08
35.228.168.221,443,0,true,ARN,Europe,Stockholm,272,0.07
34.124.151.234,80,80,false,SIN,Asia Pacific,Singapore,70,0.01
34.124.151.234,443,0,true,SIN,Asia Pacific,Singapore,73,0.01
34.96.172.212,443,0,true,HKG,Asia Pacific,Hong Kong,201,0.01
