IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.180.21.33,443,0,true,CDG,Europe,Paris,222,6.65
13.36.177.139,2083,0,true,CDG,Europe,Paris,249,6.43
13.38.14.190,8443,0,true,CDG,Europe,Paris,207,5.32
89.168.43.31,8443,0,true,CDG,Europe,Paris,195,4.40
34.22.190.30,443,0,true,CDG,Europe,Paris,201,4.17
13.37.133.212,8443,0,true,CDG,Europe,Paris,201,4.11
51.44.18.28,8443,0,true,CDG,Europe,Paris,255,3.81
141.145.214.176,443,0,true,CDG,Europe,Paris,198,3.74
40.66.63.160,80,0,false,CDG,Europe,Paris,246,3.73
158.178.206.197,8443,0,true,CDG,Europe,Paris,207,3.14
185.154.155.179,443,0,true,CDG,Europe,Paris,222,1.87
15.237.197.179,8443,0,true,CDG,Europe,Paris,246,1.59
34.22.142.117,443,0,true,CDG,Europe,Paris,214,1.40
158.178.206.197,2053,0,true,CDG,Europe,Paris,201,1.39
185.244.210.16,443,0,true,CDG,Europe,Paris,163,1.30
35.181.169.229,8443,0,true,CDG,Europe,Paris,212,1.24
13.36.64.125,8443,0,true,CDG,Europe,Paris,208,1.19
13.38.3.0,2053,0,true,CDG,Europe,Paris,243,0.12
51.44.18.28,2053,0,true,CDG,Europe,Paris,250,0.05
15.237.137.128,8443,0,true,CDG,Europe,Paris,256,0.03
35.181.77.67,443,0,true,CDG,Europe,Paris,246,0.00
158.178.192.221,443,0,true,CDG,Europe,Paris,216,0.00
