IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.11.91.177,40110,0,true,HKG,Asia Pacific,Hong Kong,227,13.68
102.129.195.189,50587,0,true,HKG,Asia Pacific,Hong Kong,51,10.43
141.11.76.209,48156,0,true,HKG,Asia Pacific,Hong Kong,93,9.91
89.213.219.224,8443,0,true,HKG,Asia Pacific,Hong Kong,92,8.96
154.9.245.26,40722,0,true,HKG,Asia Pacific,Hong Kong,68,7.71
149.104.20.61,25296,0,true,HKG,Asia Pacific,Hong Kong,66,7.42
141.11.148.39,2053,0,true,HKG,Asia Pacific,Hong Kong,82,6.87
206.237.4.137,16373,0,true,HKG,Asia Pacific,Hong Kong,78,6.19
141.11.149.64,59644,0,true,HKG,Asia Pacific,Hong Kong,119,5.77
43.247.134.147,17043,0,true,HKG,Asia Pacific,Hong Kong,94,5.75
141.11.79.224,65250,0,true,HKG,Asia Pacific,Hong Kong,95,5.22
154.9.245.27,42118,0,true,HKG,Asia Pacific,Hong Kong,93,5.00
38.147.190.81,52360,0,true,HKG,Asia Pacific,Hong Kong,106,4.74
89.213.239.190,48832,0,true,HKG,Asia Pacific,Hong Kong,62,4.68
154.9.245.26,20174,0,true,HKG,Asia Pacific,Hong Kong,45,4.67
43.240.12.103,41310,0,true,HKG,Asia Pacific,Hong Kong,89,4.65
154.9.245.11,12573,0,true,HKG,Asia Pacific,Hong Kong,106,4.48
141.11.90.152,34052,0,true,HKG,Asia Pacific,Hong Kong,88,4.37
43.240.12.103,39096,0,true,HKG,Asia Pacific,Hong Kong,53,4.36
45.39.199.63,12662,0,true,HKG,Asia Pacific,Hong Kong,71,4.22
38.47.108.24,60999,0,false,HKG,Asia Pacific,Hong Kong,97,4.00
43.154.96.33,80,0,false,HKG,Asia Pacific,Hong Kong,64,3.61
154.9.245.11,55723,0,true,HKG,Asia Pacific,Hong Kong,74,3.58
47.76.100.62,443,0,true,HKG,Asia Pacific,Hong Kong,63,3.57
223.222.13.132,30491,0,true,HKG,Asia Pacific,Hong Kong,200,3.47
154.9.245.11,38645,0,true,HKG,Asia Pacific,Hong Kong,103,3.42
154.9.245.27,18241,0,true,HKG,Asia Pacific,Hong Kong,84,2.70
154.9.245.11,43330,0,true,HKG,Asia Pacific,Hong Kong,47,2.56
154.9.245.27,29513,0,true,HKG,Asia Pacific,Hong Kong,93,2.48
103.20.222.236,34651,0,true,HKG,Asia Pacific,Hong Kong,61,2.33
154.9.245.26,27051,0,true,HKG,Asia Pacific,Hong Kong,69,2.30
43.252.231.103,30526,0,true,HKG,Asia Pacific,Hong Kong,81,2.10
154.9.245.27,47509,0,true,HKG,Asia Pacific,Hong Kong,57,1.71
43.240.12.103,58034,0,true,HKG,Asia Pacific,Hong Kong,123,1.57
154.9.245.26,27043,0,true,HKG,Asia Pacific,Hong Kong,66,1.54
154.9.245.26,25930,0,true,HKG,Asia Pacific,Hong Kong,49,1.48
154.9.245.27,41686,0,true,HKG,Asia Pacific,Hong Kong,52,1.37
154.9.245.27,43678,0,true,HKG,Asia Pacific,Hong Kong,45,1.27
154.9.245.26,25950,0,true,HKG,Asia Pacific,Hong Kong,41,1.03
103.229.127.208,3616,0,false,HKG,Asia Pacific,Hong Kong,46,0.85
103.51.144.97,11110,0,true,HKG,Asia Pacific,Hong Kong,103,0.65
117.123.31.2,31429,0,true,HKG,Asia Pacific,Hong Kong,194,0.46
43.240.12.103,19034,0,true,HKG,Asia Pacific,Hong Kong,98,0.27
202.181.27.218,14526,0,true,HKG,Asia Pacific,Hong Kong,72,0.23
8.223.39.101,443,0,true,HKG,Asia Pacific,Hong Kong,57,0.13
103.115.40.133,36332,0,true,HKG,Asia Pacific,Hong Kong,58,0.12
202.81.231.150,80,0,false,HKG,Asia Pacific,Hong Kong,430,0.12
101.36.122.24,19351,0,true,HKG,Asia Pacific,Hong Kong,102,0.11
128.1.132.82,443,0,true,HKG,Asia Pacific,Hong Kong,88,0.11
165.154.43.92,35181,0,true,HKG,Asia Pacific,Hong Kong,53,0.11
178.253.32.28,2024,0,true,HKG,Asia Pacific,Hong Kong,74,0.08
141.11.77.234,31169,0,true,HKG,Asia Pacific,Hong Kong,127,0.08
154.9.246.136,8001,0,false,HKG,Asia Pacific,Hong Kong,92,0.08
46.20.109.201,4123,0,false,HKG,Asia Pacific,Hong Kong,272,0.06
141.11.77.234,31143,0,true,HKG,Asia Pacific,Hong Kong,94,0.04
38.181.35.164,37459,0,true,HKG,Asia Pacific,Hong Kong,52,0.03
38.181.35.164,12772,0,true,HKG,Asia Pacific,Hong Kong,63,0.03
206.237.20.121,50714,0,true,HKG,Asia Pacific,Hong Kong,108,0.01
141.11.78.134,8443,0,true,HKG,Asia Pacific,Hong Kong,227,0.01
206.237.24.248,15423,0,true,HKG,Asia Pacific,Hong Kong,102,0.00
141.11.148.39,8443,0,true,HKG,Asia Pacific,Hong Kong,198,0.00
141.11.77.234,31173,0,true,HKG,Asia Pacific,Hong Kong,191,0.00
157.254.53.50,80,0,false,HKG,Asia Pacific,Hong Kong,58,0.00
