IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.197.201.183,443,0,true,IAD,North America,Ashburn,55,6.19
20.36.131.211,443,0,true,IAD,North America,Ashburn,206,6.13
172.174.249.255,443,443,true,EWR,North America,Newark,212,5.77
20.246.127.166,443,0,true,IAD,North America,Ashburn,243,4.66
172.200.2.241,443,0,true,IAD,North America,Ashburn,217,4.65
75.2.32.4,443,0,true,IAD,North America,Ashburn,54,4.61
4.255.56.137,80,0,false,IAD,North America,Ashburn,204,4.37
107.175.222.33,8443,0,true,IAD,North America,Ashburn,271,3.82
104.46.101.90,8443,0,true,IAD,North America,Ashburn,210,3.66
40.123.47.252,8443,0,true,IAD,North America,Ashburn,227,3.34
18.235.208.126,443,0,true,IAD,North America,Ashburn,236,2.97
172.177.248.69,8443,0,true,IAD,North America,Ashburn,209,2.89
104.46.111.142,8443,0,true,IAD,North America,Ashburn,211,2.60
67.226.221.231,443,0,true,IAD,North America,Ashburn,225,2.09
4.153.39.186,443,0,true,IAD,North America,Ashburn,236,2.08
137.116.91.147,8443,0,true,IAD,North America,Ashburn,198,2.00
172.208.44.21,443,0,true,IAD,North America,Ashburn,204,1.96
40.79.73.114,8443,443,true,IAD,North America,Ashburn,216,1.92
104.210.3.231,8443,0,true,IAD,North America,Ashburn,254,1.61
43.130.99.209,443,0,true,IAD,North America,Ashburn,259,1.32
48.217.34.120,443,0,true,EWR,North America,Newark,244,1.27
43.130.99.209,80,0,false,IAD,North America,Ashburn,262,1.10
107.175.245.68,50242,0,true,IAD,North America,Ashburn,255,1.06
20.81.104.97,80,0,false,EWR,North America,Newark,214,0.48
40.123.42.160,8443,0,true,IAD,North America,Ashburn,204,0.06
5.161.71.41,443,0,true,IAD,North America,Ashburn,283,0.04
52.202.68.136,443,0,true,IAD,North America,Ashburn,262,0.00
172.212.108.47,443,443,true,EWR,North America,Newark,215,0.00
