IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.154.207.203,443,0,true,ICN,Asia Pacific,Seoul,62,7.35
117.123.31.2,25369,0,true,ICN,Asia Pacific,Seoul,138,6.07
117.123.31.2,19428,0,true,ICN,Asia Pacific,Seoul,133,5.38
121.200.112.143,21020,0,true,ICN,Asia Pacific,Seoul,102,4.20
117.123.207.117,30088,0,true,ICN,Asia Pacific,Seoul,98,4.16
125.208.102.111,30060,0,true,ICN,Asia Pacific,Seoul,95,3.72
117.123.207.117,30073,0,true,ICN,Asia Pacific,Seoul,95,3.61
117.123.168.27,30032,0,true,ICN,Asia Pacific,Seoul,86,3.57
113.60.28.211,30070,0,true,ICN,Asia Pacific,Seoul,101,3.49
117.123.31.2,14413,0,true,ICN,Asia Pacific,Seoul,84,3.44
125.208.102.111,30078,0,true,ICN,Asia Pacific,Seoul,88,3.25
121.200.112.143,36776,0,true,ICN,Asia Pacific,Seoul,104,3.07
117.123.31.2,50000,0,true,ICN,Asia Pacific,Seoul,133,2.99
124.80.94.164,36084,0,true,ICN,Asia Pacific,Seoul,118,2.82
125.208.101.102,33110,0,true,ICN,Asia Pacific,Seoul,97,2.82
223.222.178.157,10318,0,true,ICN,Asia Pacific,Seoul,85,2.81
125.208.102.111,30096,0,true,ICN,Asia Pacific,Seoul,83,2.72
117.123.31.2,30059,0,true,ICN,Asia Pacific,Seoul,102,2.62
140.238.29.117,443,0,false,ICN,Asia Pacific,Seoul,58,2.59
125.208.101.102,20908,0,true,ICN,Asia Pacific,Seoul,106,2.54
117.123.31.2,15591,0,true,ICN,Asia Pacific,Seoul,92,2.27
117.123.144.67,28825,0,true,ICN,Asia Pacific,Seoul,119,1.91
124.80.55.214,30061,0,true,ICN,Asia Pacific,Seoul,104,1.69
124.199.30.202,29052,0,true,ICN,Asia Pacific,Seoul,112,1.68
124.80.55.214,30050,0,true,ICN,Asia Pacific,Seoul,106,1.66
124.80.20.114,37930,0,true,ICN,Asia Pacific,Seoul,133,1.65
124.199.33.104,23626,0,true,ICN,Asia Pacific,Seoul,117,1.62
124.199.33.104,25215,0,true,ICN,Asia Pacific,Seoul,110,1.56
117.123.31.2,17766,0,true,ICN,Asia Pacific,Seoul,134,1.42
210.87.195.19,52240,0,true,ICN,Asia Pacific,Seoul,51,1.32
113.60.219.145,27435,0,true,ICN,Asia Pacific,Seoul,110,1.15
223.222.178.157,23541,0,true,ICN,Asia Pacific,Seoul,99,0.87
113.60.219.145,29031,0,true,ICN,Asia Pacific,Seoul,122,0.59
113.60.219.145,36981,0,true,ICN,Asia Pacific,Seoul,112,0.48
124.80.133.210,34769,0,true,ICN,Asia Pacific,Seoul,193,0.44
59.187.245.232,26939,0,true,ICN,Asia Pacific,Seoul,214,0.20
124.80.133.210,29656,0,true,ICN,Asia Pacific,Seoul,201,0.17
124.199.44.146,30013,0,true,ICN,Asia Pacific,Seoul,118,0.14
124.80.133.210,16791,0,true,ICN,Asia Pacific,Seoul,225,0.14
124.199.44.146,30064,0,true,ICN,Asia Pacific,Seoul,115,0.14
124.80.133.210,27775,0,true,ICN,Asia Pacific,Seoul,242,0.12
124.80.133.210,24150,0,true,ICN,Asia Pacific,Seoul,236,0.03
