IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
223.222.141.80,38594,0,true,KIX,Asia Pacific,Osaka,146,7.83
121.200.112.143,12067,0,true,NRT,Asia Pacific,Tokyo,124,4.80
223.222.126.171,12794,0,true,NRT,Asia Pacific,Tokyo,121,4.19
168.138.47.238,8443,0,false,KIX,Asia Pacific,Osaka,178,4.19
117.123.31.2,19310,0,true,NRT,Asia Pacific,Tokyo,121,4.13
117.123.207.117,11926,0,true,KIX,Asia Pacific,Osaka,165,3.91
117.123.31.2,21495,0,true,KIX,Asia Pacific,Osaka,151,3.91
223.222.178.157,26685,0,true,NRT,Asia Pacific,Tokyo,147,3.68
117.123.31.2,37805,0,true,NRT,Asia Pacific,Tokyo,136,3.51
223.222.13.132,34994,0,true,NRT,Asia Pacific,Tokyo,133,3.43
141.147.144.246,8080,0,true,KIX,Asia Pacific,Osaka,81,3.37
117.123.31.2,19942,0,true,KIX,Asia Pacific,Osaka,178,3.14
20.52.104.187,443,0,true,KIX,Asia Pacific,Osaka,489,2.70
103.51.249.28,11405,0,true,NRT,Asia Pacific,Tokyo,121,2.41
223.222.126.171,16032,0,true,NRT,Asia Pacific,Tokyo,125,2.35
117.123.234.199,17658,0,true,NRT,Asia Pacific,Tokyo,134,2.23
140.83.57.116,8443,0,false,KIX,Asia Pacific,Osaka,80,2.08
223.222.13.132,21082,0,true,NRT,Asia Pacific,Tokyo,115,2.05
124.199.33.104,22672,0,true,NRT,Asia Pacific,Tokyo,144,1.67
113.60.188.184,33605,0,true,KIX,Asia Pacific,Osaka,188,1.61
117.123.31.2,33492,0,true,KIX,Asia Pacific,Osaka,165,1.57
117.123.31.2,34700,0,true,KIX,Asia Pacific,Osaka,192,1.55
150.230.62.27,443,0,false,KIX,Asia Pacific,Osaka,187,1.55
117.123.31.2,33479,0,true,KIX,Asia Pacific,Osaka,174,1.32
124.80.133.210,29655,0,true,KIX,Asia Pacific,Osaka,181,1.03
117.123.72.132,31550,0,true,NRT,Asia Pacific,Tokyo,137,1.00
124.80.133.210,33510,0,true,NRT,Asia Pacific,Tokyo,139,0.80
124.80.75.68,25346,0,true,KIX,Asia Pacific,Osaka,191,0.75
117.123.31.2,29350,0,true,KIX,Asia Pacific,Osaka,194,0.65
117.123.31.2,36960,0,true,KIX,Asia Pacific,Osaka,184,0.61
124.80.75.68,15772,0,true,KIX,Asia Pacific,Osaka,179,0.22
124.199.44.146,10419,0,true,NRT,Asia Pacific,Tokyo,143,0.15
124.199.5.116,34975,0,true,NRT,Asia Pacific,Tokyo,141,0.00
