IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.244.133.3,80,0,false,LAX,North America,Los Angeles,176,10.47
154.29.150.161,44754,0,true,LAX,North America,Los Angeles,197,9.62
154.21.89.73,27629,0,true,LAX,North America,Los Angeles,143,7.96
154.17.229.171,12601,0,true,LAX,North America,Los Angeles,138,7.61
154.17.228.191,12345,0,true,LAX,North America,Los Angeles,137,6.70
23.158.136.81,25864,0,true,LAX,North America,Los Angeles,137,6.38
38.150.3.43,52654,0,true,LAX,North America,Los Angeles,215,6.25
154.17.229.59,8443,0,true,LAX,North America,Los Angeles,141,6.12
154.17.12.204,9443,0,true,LAX,North America,Los Angeles,150,6.11
154.17.229.171,55110,0,true,LAX,North America,Los Angeles,137,5.90
34.160.118.77,80,0,false,TPE,Asia Pacific,Taipei,42,5.75
154.21.87.157,18294,0,true,LAX,North America,Los Angeles,148,5.72
172.247.129.59,34237,0,true,LAX,North America,Los Angeles,178,5.56
154.17.227.95,43790,0,true,LAX,North America,Los Angeles,137,5.53
154.17.19.18,28479,0,true,LAX,North America,Los Angeles,149,5.12
38.207.171.169,17955,0,true,LAX,North America,Los Angeles,142,4.97
154.17.17.16,38651,0,true,LAX,North America,Los Angeles,167,4.72
154.17.23.14,17288,0,true,LAX,North America,Los Angeles,153,4.71
34.94.98.138,443,0,true,LAX,North America,Los Angeles,204,4.66
154.29.144.83,12317,0,false,LAX,North America,Los Angeles,191,4.60
152.70.155.147,8080,0,false,LAX,North America,Los Angeles,261,4.45
154.21.94.95,18204,0,true,LAX,North America,Los Angeles,162,4.43
154.17.23.129,13551,0,true,LAX,North America,Los Angeles,148,4.42
154.9.241.153,12064,0,true,LAX,North America,Los Angeles,220,4.16
154.21.93.122,20180,0,true,LAX,North America,Los Angeles,147,4.09
154.17.30.48,55558,0,true,LAX,North America,Los Angeles,148,4.05
154.17.12.14,38609,0,true,LAX,North America,Los Angeles,147,4.02
212.103.62.60,23889,0,true,LAX,North America,Los Angeles,211,3.90
154.21.85.152,24757,0,true,LAX,North America,Los Angeles,161,3.79
154.17.4.191,35378,0,true,LAX,North America,Los Angeles,143,3.78
154.26.238.144,57092,0,true,LAX,North America,Los Angeles,147,3.71
152.70.155.147,2053,0,true,LAX,North America,Los Angeles,189,3.59
45.12.88.150,3443,0,true,LAX,North America,Los Angeles,264,3.58
154.17.20.43,13600,0,true,LAX,North America,Los Angeles,142,3.54
23.224.97.56,12162,0,true,LAX,North America,Los Angeles,184,3.43
154.21.82.84,443,0,true,LAX,North America,Los Angeles,144,3.39
154.9.241.101,17573,0,true,LAX,North America,Los Angeles,207,3.28
154.17.10.111,14515,0,true,LAX,North America,Los Angeles,144,3.28
154.17.9.73,882,0,true,LAX,North America,Los Angeles,153,3.24
154.17.10.2,19324,0,true,LAX,North America,Los Angeles,150,3.01
193.22.152.127,16123,0,true,LAX,North America,Los Angeles,285,3.00
23.224.36.221,44792,0,true,LAX,North America,Los Angeles,169,2.97
