IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.59.224.24,29902,443,true,LHR,Europe,London,180,11.34
38.59.224.24,37897,443,true,LHR,Europe,London,204,9.41
18.130.254.28,8080,0,true,LHR,Europe,London,194,7.54
13.40.25.196,8443,0,true,LHR,Europe,London,220,5.81
38.59.225.200,40755,443,true,LHR,Europe,London,188,5.31
18.133.225.206,8080,0,true,LHR,Europe,London,218,5.16
3.8.4.143,443,0,true,LHR,Europe,London,208,5.13
18.170.28.37,2096,0,true,LHR,Europe,London,204,4.83
18.169.10.212,8080,0,true,LHR,Europe,London,202,4.80
18.133.253.214,8080,0,true,LHR,Europe,London,209,4.71
18.170.216.93,8080,0,true,LHR,Europe,London,169,4.44
38.59.224.24,23671,0,true,LHR,Europe,London,185,4.37
35.176.122.244,8443,0,true,LHR,Europe,London,212,4.31
38.59.224.24,38903,0,true,LHR,Europe,London,185,3.92
18.168.151.36,8080,0,true,LHR,Europe,London,192,3.85
35.179.107.222,80,0,true,LHR,Europe,London,214,3.69
141.147.85.167,8443,0,true,LHR,Europe,London,242,3.21
194.105.81.118,8443,0,true,LHR,Europe,London,289,3.20
194.105.81.118,2053,0,true,LHR,Europe,London,285,3.18
18.171.236.219,8443,0,true,LHR,Europe,London,211,3.13
46.3.104.73,46023,0,true,LHR,Europe,London,54,3.03
165.227.231.249,443,0,true,LHR,Europe,London,259,2.85
38.180.92.156,443,0,true,LHR,Europe,London,259,2.74
18.175.138.149,2096,0,true,LHR,Europe,London,168,2.63
35.177.50.118,443,0,true,LHR,Europe,London,172,2.44
88.202.190.98,443,0,true,LHR,Europe,London,267,2.35
8.211.195.135,8443,0,true,LHR,Europe,London,316,2.20
13.40.220.165,8080,0,true,LHR,Europe,London,205,1.86
18.175.237.188,80,0,true,LHR,Europe,London,219,1.66
18.133.134.185,8080,0,true,LHR,Europe,London,227,1.53
18.175.45.253,80,0,true,LHR,Europe,London,167,1.27
38.59.224.24,43509,0,true,LHR,Europe,London,178,1.23
18.133.250.248,8080,0,true,LHR,Europe,London,207,1.05
35.197.239.137,443,0,true,LHR,Europe,London,180,0.55
35.176.229.223,80,0,true,LHR,Europe,London,214,0.47
35.177.163.80,80,0,true,LHR,Europe,London,225,0.42
212.38.166.47,443,0,true,LHR,Europe,London,246,0.38
35.178.139.160,80,0,true,LHR,Europe,London,216,0.28
4.158.108.145,443,0,false,LHR,Europe,London,272,0.18
35.178.199.250,2053,0,true,LHR,Europe,London,220,0.12
18.135.188.86,443,0,true,LHR,Europe,London,169,0.11
18.134.147.9,8080,0,true,LHR,Europe,London,205,0.05
18.175.224.91,8443,0,true,LHR,Europe,London,199,0.02
3.9.12.200,443,0,true,LHR,Europe,London,203,0.00
3.8.141.213,8443,0,true,LHR,Europe,London,213,0.00
