IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
173.240.13.235,43041,0,true,NRT,Asia Pacific,Tokyo,73,10.83
185.184.223.19,59775,0,true,NRT,Asia Pacific,Tokyo,96,7.61
154.16.55.129,443,0,true,NRT,Asia Pacific,Tokyo,72,7.49
193.246.161.63,2053,0,true,NRT,Asia Pacific,Tokyo,191,7.30
38.207.130.33,50045,0,true,NRT,Asia Pacific,Tokyo,58,7.03
123.108.70.109,32813,0,true,NRT,Asia Pacific,Tokyo,188,6.12
60.205.0.210,80,0,false,NRT,Asia Pacific,Tokyo,52,5.96
103.232.213.110,8443,0,true,NRT,Asia Pacific,Tokyo,63,5.92
54.199.224.90,80,0,false,NRT,Asia Pacific,Tokyo,53,5.57
178.173.230.214,1654,0,true,NRT,Asia Pacific,Tokyo,72,5.06
173.240.13.110,1,0,false,NRT,Asia Pacific,Tokyo,77,3.87
154.64.226.138,80,0,false,NRT,Asia Pacific,Tokyo,87,3.09
38.147.191.180,32047,0,true,NRT,Asia Pacific,Tokyo,59,2.82
123.254.104.133,40810,0,false,NRT,Asia Pacific,Tokyo,58,2.72
8.140.56.136,80,0,false,NRT,Asia Pacific,Tokyo,42,2.18
206.237.127.54,47584,0,true,NRT,Asia Pacific,Tokyo,59,2.11
149.62.44.233,41166,0,true,NRT,Asia Pacific,Tokyo,72,1.95
109.107.137.56,19358,0,true,NRT,Asia Pacific,Tokyo,110,1.21
101.36.113.25,52080,0,false,NRT,Asia Pacific,Tokyo,44,1.00
172.93.220.153,12345,0,false,NRT,Asia Pacific,Tokyo,93,0.90
101.36.113.25,58081,0,false,NRT,Asia Pacific,Tokyo,52,0.52
89.116.89.73,46767,0,false,NRT,Asia Pacific,Tokyo,107,0.50
193.111.31.133,50896,0,true,NRT,Asia Pacific,Tokyo,78,0.32
195.245.242.190,5207,0,true,NRT,Asia Pacific,Tokyo,126,0.32
116.206.92.153,443,0,true,NRT,Asia Pacific,Tokyo,57,0.21
3.113.25.44,443,0,true,NRT,Asia Pacific,Tokyo,52,0.14
103.20.199.101,33003,0,true,NRT,Asia Pacific,Tokyo,80,0.11
45.60.186.91,2082,0,false,LAX,North America,Los Angeles,245,0.08
45.60.186.91,2052,0,false,LAX,North America,Los Angeles,211,0.06
91.229.132.167,31268,0,true,ICN,Asia Pacific,Seoul,166,0.00
