IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.184.101.98,443,0,true,DFW,North America,Dallas,180,4.63
3.13.196.41,443,0,true,ORD,North America,Chicago,249,4.49
3.137.217.173,443,0,true,ORD,North America,Chicago,278,4.49
198.46.159.248,36804,0,true,ORD,North America,Chicago,319,3.90
3.144.108.67,443,0,true,ORD,North America,Chicago,248,3.43
13.58.133.212,443,0,true,ORD,North America,Chicago,238,2.99
18.190.127.150,443,0,true,ORD,North America,Chicago,268,2.53
206.217.131.12,21656,0,true,ORD,North America,Chicago,312,1.77
23.94.136.126,8080,0,true,ORD,North America,Chicago,303,1.38
172.245.68.220,17524,0,true,ORD,North America,Chicago,325,1.23
3.23.238.192,80,0,false,ORD,North America,Chicago,255,0.93
3.144.182.250,443,0,true,ORD,North America,Chicago,221,0.91
23.94.136.126,80,0,true,ORD,North America,Chicago,313,0.60
198.46.215.183,50964,0,true,ORD,North America,Chicago,311,0.40
198.144.183.24,443,0,true,ORD,North America,Chicago,226,0.25
164.152.26.70,2086,0,true,ORD,North America,Chicago,236,0.24
34.45.111.87,443,0,true,ORD,North America,Chicago,275,0.06
108.174.50.200,2083,0,true,ORD,North America,Chicago,313,0.02
164.152.26.70,2052,0,true,ORD,North America,Chicago,239,0.00
18.117.75.107,443,0,true,ORD,North America,Chicago,281,0.00
34.41.252.92,443,0,true,ORD,North America,Chicago,231,0.00
