IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
120.220.19.109,2052,2052,false,SIN,Asia Pacific,Singapore,41,10.21
45.159.51.121,32199,0,true,SIN,Asia Pacific,Singapore,76,6.58
52.163.67.59,80,0,false,SIN,Asia Pacific,Singapore,103,5.72
217.142.187.83,8443,0,true,SIN,Asia Pacific,Singapore,231,5.47
140.245.41.48,443,0,true,SIN,Asia Pacific,Singapore,82,5.03
103.20.223.50,57265,0,true,SIN,Asia Pacific,Singapore,39,4.62
23.225.64.72,13000,0,true,SIN,Asia Pacific,Singapore,82,4.39
120.220.19.103,2052,0,false,SIN,Asia Pacific,Singapore,41,3.84
120.220.19.109,2082,0,false,SIN,Asia Pacific,Singapore,34,3.33
154.17.225.138,59430,0,true,SIN,Asia Pacific,Singapore,151,2.88
13.212.91.157,443,0,true,SIN,Asia Pacific,Singapore,85,2.65
43.156.253.94,443,0,true,SIN,Asia Pacific,Singapore,236,1.72
96.0.144.6,80,0,false,SIN,Asia Pacific,Singapore,129,1.51
168.138.162.187,443,0,true,SIN,Asia Pacific,Singapore,220,1.34
47.236.64.50,443,0,true,SIN,Asia Pacific,Singapore,105,0.80
96.0.147.114,80,0,false,SIN,Asia Pacific,Singapore,169,0.69
47.236.113.184,443,0,true,SIN,Asia Pacific,Singapore,133,0.49
47.245.107.162,443,0,true,SIN,Asia Pacific,Singapore,229,0.11
103.234.53.199,23660,0,true,SIN,Asia Pacific,Singapore,51,0.07
47.84.85.89,443,0,true,SIN,Asia Pacific,Singapore,210,0.06
202.81.235.90,50100,0,true,SIN,Asia Pacific,Singapore,220,0.00
