IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
65.75.195.188,36298,0,true,SJC,North America,San Jose,206,7.30
54.153.96.188,80,0,true,SJC,North America,San Jose,170,6.17
65.75.195.188,19316,0,true,SJC,North America,San Jose,183,6.07
136.175.178.78,40953,0,true,SJC,North America,San Jose,196,5.38
37.123.193.187,126,443,true,SJC,North America,San Jose,187,4.59
65.75.192.85,443,0,true,SJC,North America,San Jose,190,4.59
45.59.187.24,13284,0,true,SJC,North America,San Jose,204,4.54
65.75.194.66,51246,0,true,SJC,North America,San Jose,215,4.49
45.59.186.16,14092,0,true,SJC,North America,San Jose,194,3.81
136.175.177.2,50990,0,true,SJC,North America,San Jose,197,3.53
65.75.193.154,14491,0,true,SJC,North America,San Jose,199,3.35
170.106.84.6,80,0,false,SJC,North America,San Jose,214,3.11
65.75.194.7,12266,0,true,SJC,North America,San Jose,142,3.07
47.251.54.234,8443,0,true,SJC,North America,San Jose,203,3.03
185.114.77.159,443,0,true,SJC,North America,San Jose,195,2.82
43.153.103.203,443,0,true,SJC,North America,San Jose,191,2.27
13.57.241.143,80,0,true,SJC,North America,San Jose,175,1.90
54.151.9.4,80,0,true,SJC,North America,San Jose,205,1.51
45.9.10.100,30443,0,true,SJC,North America,San Jose,196,0.41
204.236.186.113,80,0,true,SJC,North America,San Jose,159,0.04
65.75.193.21,39458,0,true,SJC,North America,San Jose,194,0.04
107.172.103.195,16097,0,true,SJC,North America,San Jose,227,0.01
104.168.102.121,2053,0,true,SJC,North America,San Jose,336,0.01
107.172.103.195,16040,0,true,SJC,North America,San Jose,263,0.01
107.172.103.195,16052,0,true,SJC,North America,San Jose,255,0.00
107.172.103.195,16057,0,true,SJC,North America,San Jose,256,0.00
107.172.103.195,16099,0,true,SJC,North America,San Jose,296,0.00
107.172.103.195,16014,0,true,SJC,North America,San Jose,350,0.00
13.56.251.164,80,0,true,SJC,North America,San Jose,192,0.00
3.101.73.167,80,0,true,SJC,North America,San Jose,168,0.00
45.59.185.20,443,0,true,SJC,North America,San Jose,201,0.00
107.175.44.118,58621,0,true,SJC,North America,San Jose,262,0.00
107.172.103.195,16039,0,true,SJC,North America,San Jose,238,0.00
107.172.103.195,16056,0,true,SJC,North America,San Jose,264,0.00
23.94.122.46,443,0,true,SJC,North America,San Jose,268,0.00
43.153.4.246,80,0,false,SJC,North America,San Jose,295,0.00
107.172.103.195,16001,0,true,SJC,North America,San Jose,272,0.00
43.153.119.207,443,0,true,SJC,North America,San Jose,198,0.00
45.59.187.105,26443,0,true,SJC,North America,San Jose,221,0.00
107.172.103.195,16041,0,true,SJC,North America,San Jose,272,0.00
54.153.85.10,80,0,true,SJC,North America,San Jose,180,0.00
107.172.103.195,16059,0,true,SJC,North America,San Jose,272,0.00
107.172.103.195,16035,0,true,SJC,North America,San Jose,259,0.00
54.193.48.13,443,0,true,SJC,North America,San Jose,190,0.00
45.59.184.55,443,0,true,SJC,North America,San Jose,187,0.00
13.56.139.126,80,0,true,SJC,North America,San Jose,171,0.00
